,comment,like,time,title_list
0,"A music video that breathes life into a song and paints a new realm before your eyes, akin to an enchanting journey through a world of colors and energies",23,6 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
1,They are the definition of monster rookie. Slaying hard since debut. Nationally internationally both,874,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
2,and globally,18,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
3," @joeE-kt8of  as opposed to the non-global international indeed, thank you for the precision.",16,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
4,im 500th like yippee,1,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
5,ETA의 힙한 느낌이 취향이지만 OMG와 슈퍼샤이의 귀여운 느낌도 요즘 가수들한테 보기 힘든 컨셉이라 그런가 희소성 있어보이고 좋네 동시에 GODS도 소화하니 재밌는 걸그룹이다,58,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
6,웰메이드 스테이지....  국내 음방도 연출이나 무대 등 수준이 높게 준비한것으로 기억하는데 빌보드무대는 특히나 이에 걸맞은 고퀄리티 무대같다,38,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
7,I'm so impressed with how stable their vocals are ,79,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
8,Are you sure it’s live? ;),4,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
9,Lipstick,0,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
10, @fannie-annie feels like it’s recorded,6,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
11,precorded,5,23 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
12,you can literally hear them breathing @Soyboi0_0 ,4,17 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
13," @charlotteleung5468  I said it’s recorded , I didn’t anything about lipsync",2,17 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
14, @charlotteleung5468  never heard of pre-recorded?,1,14 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
15,"These vocals are obvious, but they record a different set of vocals that will sound ""live"" but then they play it during performances. We're still lovin' it tho!",1,13 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
16,"In this era, it's hard to distinguish between live and prerecorded.In my opinion, it was precorded because it kinda auto tuned",0,5 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
17,와 뭐야 무대세트 퀄리티 오졌다 진짜 그와중에 빛나는 뉴진스,16,22 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
18,"They’re all giving visuals, the makeup, the outfits, everything is on point!! Love these girls!!!!",2.7K,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
19,yesss especially hanni and hyein! i can take my eyes off them,13,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
20,진짜 무대 자체가 너무 예쁘다.... 다들 반짝반짝함ㅠㅠ🩷,52,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
21,"Thank you, Billboard, for having our girls! NewJeans just never disappoints and every track is timeless <3 so much love for NewJeans & BBMAS 2023! 'Til next year! Congratulations, NewJeans ",379,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
22,요정들의 무대 고마워뉴진스 사랑해,5,20 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
23,Congratulations NewJeans for being one of the first kpop girlgroup to win BBMAS!!! So proud of you,175,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
24,There is no such thing as a bad stage for NewJeans!! They did so well!!,11,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
25,They won the Top Global Kpop Artist award at BBMA. Congrats to New Jeans!,2K,3 days ago (edited),"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
26,Because they showed up...similar to how MAMA works against some groups that won't show up.,30,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
27," @marksmith8210 isn't this pre recorded ? They were at world's so they didn't attend . whatsoever a win is win , just let them appreciate",64,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
28,Wtf is that? Making up awards now,6,3 days ago (edited),"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
29,pffffft not the replies getting mad,32,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
30, @FIGHTFAN777 it’s a real category that BBMAs has.,31,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
31,Even tho i'm bitter at western award shows for ignoring TWICE and their success this year gotta say New Jeans earned it!,8,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
32, @FIGHTFAN777 why r u crying,3,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
