,comment,like,time,title_list
0,"Sunwoo's ""Hi hello my name is what you want it to"" instantly iconic ️OBSESSED️",673,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
1,So truee this is my first song and I'm obsessed ,2,10 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
2,Siiii es icónico. Me enamoré instantáneamente <3,2,10 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
3,YESSS,1,5 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
4,Estou voltando nessa parte toda hora!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,4 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
5,keren banget deobi baru 2 hari udah tembus 25m mantuuuuuulllll. semoga watch it bisa masuk music chart di sokor & sales nya jga naik :'),73,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
6,"Este regreso está arrasando con todas nuestras expectativas, sigamos así theb tod@s junt@s podemos, son lo mejor del mundo. Gracias por su apoyo ",78,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
7,MV - 100%DANCE - 100%VISUAL - 100%VOCAL - 100%,16,5 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
8,"27 M no puedo creer que llegamos a 27M ,gracias a todos ♡♡",72,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
9,Ya casi 28 amix ,3,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
10,YA 30M AHH,4,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
11,36!,2,8 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
12,Y las visitas siguen aumentando!,2,7 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
13, @kimpandora48  se lo merecenn,2,6 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
14,SIGAMOS TRABAJANDO DURO DEOBI <3,34,18 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
15,"It's been 6 years since The Boyz debuted, their concept is always interesting and developing",220,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
16,Facts,3,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
17,"No se rindan, hagamos que este sea su primer video en llegar a los 50M !!!",70,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
18,Siiiiiiiiiiiiii,0,10 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
19,ahuevooo!!,0,8 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
20, @bduqueza  <33,1,5 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
21,hay que lograrlo!!,0,1 hour ago,THE BOYZ(더보이즈) 'WATCH IT' MV
22,"30 Millones vamos por más!!!, los niños se lo merecen ",40,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
23,Vamos por los 50M y mucho más.,37,19 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
24,Big thank you to all the help viewing from other fandoms♡ So grateful for your support! We won't forget!,69,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
25,Pls let's keep streaming and reach 50 million views!!! Let's make it the most viewed MV in the history of THE BOYZ!!! FIGHTING!!!,51,17 hours ago (edited),THE BOYZ(더보이즈) 'WATCH IT' MV
26,BEST COMEBACK BY A BOY GROUP THIS YEAR!!! THIS INSTRUMENTAL IS INSANE!!!,198,3 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
27,FACTS!!,13,3 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
