,comment,like,time,title_list
0,Malaysia still #1 trending ..10 days ! Proud to be MY Malaysia !,181,3 days ago,aespa 에스파 'Drama' MV
1,truskan stream if xbz sbb trget nak bgi win minggu ni,13,3 days ago,aespa 에스파 'Drama' MV
2,Di indonesia trending #1 selama 7hari,14,1 day ago,aespa 에스파 'Drama' MV
3,Mylasia ️,4,16 hours ago,aespa 에스파 'Drama' MV
4,"You guys are amazing!! It's #10 in my country, the US",2,4 hours ago,aespa 에스파 'Drama' MV
5,So cool!!!,2,4 hours ago,aespa 에스파 'Drama' MV
6,Top 10 global,2,2 hours ago,aespa 에스파 'Drama' MV
7, @spicy_pudding  tq …  u too  love US,1,2 hours ago,aespa 에스파 'Drama' MV
8,In US 10# top global music video,1,2 hours ago (edited),aespa 에스파 'Drama' MV
9,aespa ‘Drama’ — 8PM KST #3 MelOn (=)  #3 Bugs (=),179,3 days ago,aespa 에스파 'Drama' MV
10,Mantappp,5,3 days ago,aespa 에스파 'Drama' MV
11,waahhh mulai naik,6,3 days ago,aespa 에스파 'Drama' MV
12,LEGOOOOO!,2,6 hours ago,aespa 에스파 'Drama' MV
13,"ayoo myss masih pada semangat kann??? streaming yokkk sekalian sama spotify nya juga yaaa, terimakasih myss",182,3 days ago,aespa 에스파 'Drama' MV
14,Siap,4,3 days ago,aespa 에스파 'Drama' MV
15,aku kecanduan parahh sehari diatas 50 kali puteryerus,0,20 hours ago,aespa 에스파 'Drama' MV
16,"you guys don’t understand, I NEED ENCORE STAGE FOR DRAMA I NEED THE VOCAL QUEENS  please let there be one at least ",121,1 day ago,aespa 에스파 'Drama' MV
17,Yess please voteeee,7,1 day ago,aespa 에스파 'Drama' MV
18,"MYS don't forget to vote ÆSPA for M countdown,Inkigayo,Music core and Show Champion,fighting MYS!!!",62,4 days ago,aespa 에스파 'Drama' MV
19,up,1,3 days ago,aespa 에스파 'Drama' MV
20,The real 4th generation Queens. The real 4th generation leaders.,44,22 hours ago,aespa 에스파 'Drama' MV
21,Isn't skz is the 4th generations leader?,1,13 hours ago,aespa 에스파 'Drama' MV
22,Yeah skz and new jeans are 4th gen queens,1,12 hours ago,aespa 에스파 'Drama' MV
23," @s.a.m.hwang_ no,they aren’t.Unfortunately,they are no -names for Koreans Accept that fact already.",2,9 hours ago (edited),aespa 에스파 'Drama' MV
24,4 vocalist + 4 rapper + 4 dancer + 4 visual = aespa,8.4K,10 days ago (edited),aespa 에스파 'Drama' MV
25,4 visual,166,10 days ago,aespa 에스파 'Drama' MV
26,Best GG for real,208,10 days ago,aespa 에스파 'Drama' MV
27,Fact check,114,10 days ago,aespa 에스파 'Drama' MV
28,spitting facts,65,9 days ago,aespa 에스파 'Drama' MV
29, @soapsoupsouie she is not but she can rap,76,9 days ago,aespa 에스파 'Drama' MV
30, @soapsoupsouie all of them can rap bcs they trained like a hiphop group back then hahahahah,57,9 days ago,aespa 에스파 'Drama' MV
31, @soapsoupsouie in weverse introduction SM said ningning can rap and she got title as an all rounder by them.,51,9 days ago,aespa 에스파 'Drama' MV
32,For sure,6,9 days ago,aespa 에스파 'Drama' MV
33, @spicychallenge21 and twice,10,9 days ago,aespa 에스파 'Drama' MV
34,TRUE  SM character,16,9 days ago,aespa 에스파 'Drama' MV
35,"There is no place for the excitement to slow down a little bit in all the song, every part is just so amazing ",61,2 days ago,aespa 에스파 'Drama' MV
36,Congrats on #10 global trending music vid!!!,38,3 days ago,aespa 에스파 'Drama' MV
37,"VAMOS ALCANCAR 60M DE VIEWS COM 13 DIAS DE LANÇAMENTO GUYS, VAMOS ALCANÇAR MUITO MYS PELA FRENTE, FIGHTING!!",95,1 day ago,aespa 에스파 'Drama' MV
38,The number of likes does not show that these views were earned honestly),2,21 hours ago,aespa 에스파 'Drama' MV
39,58M SOON! HWAITING ! WE DONT STOP RISING. AESPA KEEP RISING HIGH.  TRENDING #1 FOR MORE THAN 7DAYS,69,2 days ago,aespa 에스파 'Drama' MV
40,Winter is looking stunning this era,18,1 day ago,aespa 에스파 'Drama' MV
41,"In my opinion, this is their best MV. The transition is superb, and the concept is very suited to the song.",185,9 days ago,aespa 에스파 'Drama' MV
42,"Same, this is their best MV, but I still think their best title track is Black Mamba",2,8 days ago,aespa 에스파 'Drama' MV
43,This song is one of the best songs that came out this year no doubt,45,4 days ago,aespa 에스파 'Drama' MV
44,Aespa lowkey just carried this year saving us I needed something like this rn T_T.,18,2 days ago,aespa 에스파 'Drama' MV
45,This song is deserved to be known and listened more,18,1 day ago,aespa 에스파 'Drama' MV
46,Wow. This is just awesome. This is the first song where I absolutely love the rap. Karina is just perfect in this.,20,2 days ago,aespa 에스파 'Drama' MV
47,"i've been streaming this every morning, afternoon and evening lmao this is one of their best mv and title track for me",28,23 hours ago,aespa 에스파 'Drama' MV
48,What I'm sure of about aespa is that their releases will never be boring,210,13 days ago,aespa 에스파 'Drama' MV
49,frrr,7,13 days ago,aespa 에스파 'Drama' MV
50,"It's been almost two weeks since this was released, yet I'm still here every day. What a masterpiece!",51,1 day ago,aespa 에스파 'Drama' MV
51,"They really put a strong opening, an addictive chorus, and their best bridge yet altogether",39,2 days ago,aespa 에스파 'Drama' MV
52,"Intro is powerful, I also like how they gave so much justice to their song♡",10,13 hours ago,aespa 에스파 'Drama' MV
53,"Chartnya naik terus nih drama, chart korea + inter, so proud of you guys. ",14,2 days ago,aespa 에스파 'Drama' MV
54,aespa always gives this savage badass vibes,10,13 hours ago,aespa 에스파 'Drama' MV
55,This MV has the best cinematography out of all the MVs I’ve watched ever,3.1K,12 days ago,aespa 에스파 'Drama' MV
56,It’s finally completed: https://youtu.be/sMQW17r9MnE?si=SBUqqqRw4zexkPCW,5,12 days ago (edited),aespa 에스파 'Drama' MV
57,do you know who directed it? usually when mvs are movie quality they say the name of the director but i didn't see it here.,89,12 days ago,aespa 에스파 'Drama' MV
58,fr,0,11 days ago,aespa 에스파 'Drama' MV
59,Agree!,6,11 days ago,aespa 에스파 'Drama' MV
60,a lot of aespa's mv are very cool !,43,11 days ago,aespa 에스파 'Drama' MV
61,"if you like aespas mv and editing i would highly recommend blackpinks mvs, one of the many things they're famous for",12,10 days ago,aespa 에스파 'Drama' MV
62,YEAH,1,10 days ago,aespa 에스파 'Drama' MV
