,comment,like,time,title_list
0,I love this agencies vibe  their just so chill. Like they’re kinda awkward with each other in the cutest way. And everyone’s energy is similar so there’s no one hogging attention. Honestly it just feels like a retreat for introverts haha which is pretty cool considering the genres they’re in And to be MC’d by Meenoi - the awkward mood setter ,1.1K,5 days ago (edited),AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
1,The accuracy of this comment. Introverts retreat is so true!,48,5 days ago (edited),AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
2,I always find the most hypeed performers are introverts lol they expressed all their emotions on stage in their music and save the energy in real life ,46,5 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
3,[ 대주고 가는 유부 많은곳 찾았다 ]=들려서 어딘지 보고 가거라=,0,5 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
4, @EloisaNehmer ?????,0,4 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
5,RETREAT FOR INTROVERTS  they even fill all the back seats lol,2,16 hours ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
6,확실히 미노이는 예능 쪽에 재능이 좀 있긴 한 듯 ㅋㅋㅋ 시간 가는 줄 모르고 봤네 다들 멤버도 짱짱해서 개꿀잼 ㅋㅋㅋㅋ,692,3 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
7,예능인이지 그냥 이영지 같은 부류,1,1 day ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
8, @yhk9639 미노이는 그분과 달리 음악잘함,0,1 day ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
9,와~~근데 AOMG 단합 미쳤다.다른 레이블 비교안할래야 안할수가..가오잡는 사람없이 넘 편하게들 어울리는 모습들이 찐으로 느껴진다.,898,5 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
