,comment,like,time,title_list
0,하리무가 스걸파에는 참가자로 나오고 2에는 마스터로 나오는 게 핵간지다ㅋㅋㅋㅋㅋ,3.5K,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
1,논란도 많고 억까도 많았는데 실력으로 다 버로우 시킨것도 핵간지..,182,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
2,논란과 억까가 있었나,83,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
3,워낙 배틀강자인 클루씨가 리더전이랑 2:2 배틀을 개발라버려서 아마존 아쉽게 탈락하긴 했지만 실력은 진짜 턴즈랑 투탑이었음 간지 개쩔어,136,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
4, @choppar  딱히 억까는 없었고 첫미션때 대중투표에 밀려서 배틀로 지고 빨리 떨어진게 안타까웠지 엠넷이 하리무랑 조나인 사이 틀어진거마냥 편집해서 말이 좀 나오긴 했어도,73,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
5," @user-br3rt6ko7p  ?.? 2ㄷ2는 클루씨가 잘했지만 리더전은 비등했고 나머지는 월등히 아마존이 잘 했는데..? 그리고 아마존이 A파트 극찬 받아 놨더니 B파트에서 클루씨가 똥 싸질러서 탈락배틀 간 건데 탈락배틀을 할 게 아니라 그냥 그 미션에서 못했던 팀을 떨어트리는 게 맞았음..이게 억까지 뭐야,,",29,3 days ago (edited),[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
6, @user-jt4jx9dn9y  ㄴㄴ 댄스 유튜버들이 단체퍼포에선 아마존이 이긴거 맞는데 리더전에서 채린이가 압살한거라고 업계 댄서들이 확실하게 말했음 혜림이가 못했다는게 아니라 채린이가 너무 잘해서 비등한 수준으로 진게 아니란 소리임. 그리고 방송엔 안나왔지만 아마존 클루씨 배틀 4번째까지 갔음. 아마존이 첫미션에서 캐리하고도 탈락한건 안타깝지만 배틀에선 그 미션이랑 상관없이 오로지 배틀실력으로만 승패를 가리는거라 어쩔 수가 없음. 룰이 그런걸 뭐 어쩌겠음??,25,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
7, @user-jt4jx9dn9y  루다의 댄스연구소 채널 가서 왜 리더전은 채린이가 이긴건지를 좀 보고오셈 그 배틀을 아마존이 이겼다고 하는건 오히려 클루씨를 역으로 억까하는거임 클루씨는 나중에 꽃게춤 논란 터져서 문제였던거지 배틀러로서의 역량은 코레오 팀들과는 비교가 안될 수준이었음 참고로 락킹추는 해린이 걔 지금은 세계대회에서 놀고있는 애임 반대로 아마존은 스우파 나왔어도 될 만큼 코레오를 너무 잘 짰고. 이렇게 서로 잘하는게 다른데다가 스걸파 경쟁시스템이 코레오 잘하는 아마존에게 유리한 조건이 아니었을 뿐임,25,3 days ago (edited),[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
8, @user-jt4jx9dn9y 아무래도 영상 다시보고 오셔야 할 듯 .. 클루씨가 이긴 이유가 당연히 있음 걔넨 누구랑 대결했어도 이겼을 미친얘들이었음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,22,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
9, @user-jt4jx9dn9y  클루씨가 코레오에 약해서 그렇지 탈락배틀 잘한게 맞아요 그때 탈락배틀 첫순서가 단체전이라서 코레오에 유리한 아마존이 이긴거고 그 뒤에 나오는건 클루씨가 레전드였어서..,28,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
10,"Word for word, bar for bar",0,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
11,Crazy that harimu was a contestant last season and now she’s a whole judge. She’s come so far,2.3K,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
12,And one of the girls from Amazon is participating again too,118,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
13,wait really? @krysssst ,10,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
14,what's even crazier is she has the chance to beat her former mentors.,98,3 days ago,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2
