,comment,like,time,title_list
0,"Sunwoo's ""Hi hello my name is what you want it to"" instantly iconic ️OBSESSED️",817,3 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
1,So truee this is my first song and I'm obsessed ,4,17 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
2,Siiii es icónico. Me enamoré instantáneamente <3,3,17 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
3,YESSS,2,12 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
4,Estou voltando nessa parte toda hora!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,12 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
5,My fave part!,3,4 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
6,MV - 100%DANCE - 100%VISUAL - 100%VOCAL - 100%,68,12 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
7,Big thank you to all the help viewing from other fandoms♡ So grateful for your support! We won't forget!,112,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
8,My first comeback in this fandom ㅠㅠI’m Monbebe)))))),1,59 minutes ago,THE BOYZ(더보이즈) 'WATCH IT' MV
9,우리 아들들은 이 걸작으로 우리를 섬기기 위해 열심히 일합니다. 빨리 40M 달성하고 신기록 세우자. 우리는 할 수 있습니다! 갑시다!!,23,4 hours ago (edited),THE BOYZ(더보이즈) 'WATCH IT' MV
10,"Este regreso está arrasando con todas nuestras expectativas, sigamos así theb tod@s junt@s podemos, son lo mejor del mundo. Gracias por su apoyo ",102,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
11,더보이즈 이번앨범 너무좋구 준비하느라 고생많았오 더보이즈 최고다ㅠㅠ,28,21 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
12,"It's been 6 years since The Boyz debuted, their concept is always interesting and developing",260,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
13,Facts,3,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
14,"Мои мальчики самые драгоценные на свете! Вы все красивые, талантливые и трудолюбивые! Не слушаете никого, двигайтесь вперёд!",15,17 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
15,아니미친그냥욕해도되나이게뭐야나기절해진짜애들다미쳤어존나잘생김개미친개미친미친미친미친;;; 진짜 가사 미쳤고 의상 미쳤고 컨셉 미쳤고 노래 중독성 개쩔고 엔딩 미쳤고 그냥 다 미쳤어 아니 이게 뭐야 진짜 스밍 돌리러 갈게요 이번에 공식일등 만들어버리고 싶음 더보이즈 여러분들도 같이 열스밍 해주세요 입스밍 하기만 해봐 진짜!!!,17,12 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
16,너무 좋아,13,12 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
17,더비들 열스밍 합시다!!! 1위보이즈 가보자,9,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
18,"So proud of the boyz and deobi for achieving this milestone!! This comeback was amazing of course, being delivered by 11 princes. Let's make this an unforgettable comeback and replay it till 50M",24,15 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
19,Even after 50M lets replay cuz we cant get bored of this,3,9 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
20,THE VISUALS ARE INSANE,90,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
21,"THE TALENT TOO, LIKE TBZ BE THE WHOLE PACKAGE",8,1 day ago (edited),THE BOYZ(더보이즈) 'WATCH IT' MV
22,Whats stopping you from stanning the boyz? they are AMAZING,74,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
23,our million dollar question,4,17 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
24,También me lo pregunto :(,2,15 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
25,VIVO POR ELLOS,30,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
26,"Popular opinion: Everyone agrees that THE BOYZ’s visuals, charisma, concept and talent is everything!!",19,12 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
27,"30 Millones vamos por más!!!, los niños se lo merecen ",50,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
28,"Semangat deobi, jangan terhanyut angka 38juta. Ayo tetap streaming , 42 juta hingga jam 6 sore",13,5 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
29,"the choreography, the visuals, the chorus part, Kevin's wink, too hot to handle, the high notes, the dance break, this mv is everything",1.3K,3 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
30,I know!! The Boyz Fighting!!,17,3 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
31,so true,8,3 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
32,Frrr,4,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
33,"MY CAT. WHERE!!! daMN, GIVEN WHITE",3,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
34,Really that high note ..that part is on repeat ,6,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
35,Literally such a nice description ,3,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
36,RILL,1,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
37,Broooo .. it's so gooood,1,2 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
38,yeah!! also i really appreciate that they did a dark concept without any guns...that's been wayyyy too common in kpop mvs lately,5,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
39,Jacob's high note in the killing part is amazing!,2,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
40,Congratulations THE BOYZ and deobis on 30M! Let’s go 35M! Thanks for all the support out there!,71,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
41,"2:34 여기서부터 점점 빌드업하면서 제이콥 보컬 미쳤고 불꽃씬도 2번 밖에 기회 없었다는데 진짜 그냥 미쳤다 댄서들이랑 칼군무, 조명, 노래 모든 게 완벽해 보임",12,23 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
42,This song deserves atleast 10 wins!! Thumbs up if you agree!!!,12,12 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
43,"No se rindan, hagamos que este sea su primer video en llegar a los 50M !!!",79,1 day ago,THE BOYZ(더보이즈) 'WATCH IT' MV
44,Siiiiiiiiiiiiii,1,17 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
45,ahuevooo!!,1,15 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
46, @bduqueza  <33,2,12 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
47,hay que lograrlo!!,0,8 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
48,Amén,0,28 seconds ago,THE BOYZ(더보이즈) 'WATCH IT' MV
49,Congratulations on 37M! Let’s go 40M! This MV is bringing me so much happiness! Listening to the album every day. Especially addicted to Watch It and Honey!,23,13 hours ago,THE BOYZ(더보이즈) 'WATCH IT' MV
50,"""Hi hello. My name is what you want it do."" THIS PART OF SUNWOO IS CRAZY, GOOD AND ADDICTIVE! HE HAS GREAT VOCALS",898,3 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
51,FACTS,9,3 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
52,"Ikr, I had to rewind it a couple or 10 times  just for his part ",13,3 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
53,"FOR REAL I DIED BRO, ITS SO ATTRACTIVE TOO W HIS VOICE T_T",9,3 days ago,THE BOYZ(더보이즈) 'WATCH IT' MV
54,Best pick up lines. ️ Trinidad 🇹🇹,4,3 days ago (edited),THE BOYZ(더보이즈) 'WATCH IT' MV
