,comment,like,time,title_list
0,이번편 미쳤다 ㅋㅋㅋ 네모네모 의사 자막은 다 ㅁ인 것도 웃기고 에필로그에 인스타 악플도 디테일 미쳤고 유튜브도 인기순은 칭찬인데 시간순은 악플인 거 개욱김ㅋㅋㅋㅋㅋ,7.8K,8 days ago,옥지의 성형 ~!
1,ㅋ,5,8 days ago,옥지의 성형 ~!
2,인정 ㅋㅋㅋㅋㅋ 너무 병맛임 막장드라마급 그러니까 내가 빵빵이를 좋아하지 3번째 영상부터 알았음,54,8 days ago,옥지의 성형 ~!
3,"[[ 롯리 햄벅 깁티 1OOOO짜리]]올려놓앗으니 아무나 써요 많아영!!>,,,<",1,8 days ago,옥지의 성형 ~!
4,존나 웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ씹,2,8 days ago,옥지의 성형 ~!
5,오래오래 사귀란 것도 꼭 선플이 아닐 수도 있음.. 끼리끼리 오래 만나라는 뜻으로도 해석돼서...,27,8 days ago (edited),옥지의 성형 ~!
6,인기 댓글순 vs 최신순 온도차이 줫나 심함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,61,8 days ago,옥지의 성형 ~!
7,보면서 돔팜밈밤삼 생각났네,1,8 days ago,옥지의 성형 ~!
8,ㄹㅇ ㅋㅋㅋㅋㅋ 유튜브댓글 현실고증 씹오짐 ㅋㅋㅋㅋㅋㅋ,25,8 days ago,옥지의 성형 ~!
9, @dbwogkr 너네 엄마가 웃기다고 할 순 없잖아ㅋㅋ,1,8 days ago,옥지의 성형 ~!
10,현실 비판과 저세상 개그를 동시에 잡으시는 작가님...,1.7K,8 days ago,옥지의 성형 ~!
11,ee,1,7 days ago,옥지의 성형 ~!
12,[ 대주고 가는 유부 많은곳 찾았다 ]=들려서 어딘지 보고 가=,0,7 days ago,옥지의 성형 ~!
13,인기순 가식 댓글은 돌려까는 거였고 최신순 댓글이야 말로 본심이라는 유튜브 풍자,11,6 days ago,옥지의 성형 ~!
14, @LEMON_CottonCandy 돌려까는건 아닌것같은데..,4,4 days ago,옥지의 성형 ~!
15,사실 엔딩 직전에 육각형 별이랑 초승달은 각각 유대교랑 이슬람교을 대표하는 문양인데 최근 이스라엘 하마스 전쟁에 의미를 두면 둘의 존중과 화합을 기원하는 메시지도 있는거 같네요... 라고 하기엔 웃음포인트가 너무 많음 배 아파서 죽을거 같음,4,3 days ago,옥지의 성형 ~!
16, @dkjkim  와 그건 눈치 못 챘네요 소름돋았어요..🥹,0,3 days ago,옥지의 성형 ~!
17, @dkjkim 이건 ㄹㅇ 과대해석인데,1,2 days ago,옥지의 성형 ~!
18, @cyironman 머지막에 존중 확대해서 보여주잖아요 해석 저거 맞는데요,0,2 days ago,옥지의 성형 ~!
19,세모옥지 너무 귀여운거 아니냐곸ㅋㅋㅋㅋㅋ 빵빵이랑 옥지랑 붙이면 별 되는거 이쁘넼ㅋㅋㅋㅋ,2K,8 days ago,옥지의 성형 ~!
20,유대인 표시잖아..?,7,8 days ago,옥지의 성형 ~!
21,다윗의별,8,8 days ago,옥지의 성형 ~!
22,그냥 예쁘다는데 설명충 머야;,2,8 days ago,옥지의 성형 ~!
23, @1st_  이건 상식인데 뭔 설명충.. 맨날 유튜브만 쳐 보지말고 책좀 읽으렴,5,8 days ago (edited),옥지의 성형 ~!
24, @makjung21 + 진지충까지;; 니가 아는걸 누가 모르겠냐 너만 저딴걸 알고 있다는 생각하지말고 사람 좀 만나렴,2,8 days ago,옥지의 성형 ~!
25,상식이라고 생각했으면 아는걸 전제하에 그냥 예쁘단걸 말하고 싶었구나 라고 생각이 안되나?,4,8 days ago,옥지의 성형 ~!
26,이게 바로 F와 T의 싸움인가여러분 아침부터 싸우지 마세요 ,0,8 days ago,옥지의 성형 ~!
27,e,0,7 days ago,옥지의 성형 ~!
28, @1st_ 애초에 시비도 아니고 그냥 유대인표시네 다윗의별이네 하고 말았는데 지가 거기다가 설명충 어쩌고 ㅈㄹ했으면서 ㅈㄴ 웃기는 새끼네 이거 ㅋㅋㅋ,3,7 days ago,옥지의 성형 ~!
29,웹툰 볼땐 잘 몰랐는데 애니로 만드니까  장난 아니네 ㅋㅋㅋ 작가님 연출이 엄청 뛰어나구나ㅋㅋㅋ  본인 작품이라 캐릭터 이해도가 높아버리니 더빙도 진짜 개미쳤고 ㅋㅋㅋ,292,4 days ago,옥지의 성형 ~!
30,혹시 웹툰 어디서 보나요?,0,2 days ago,옥지의 성형 ~!
31,빵빵이 너무 귀엽다 이런 귀여움을 숨기고 롤만 열심히해서 노력과 실력만으로 롤드컵 우승전을 준비하고있는 페이커가 세삼 대단하게 느껴지네...,1.2K,8 days ago,옥지의 성형 ~!
32,기습숭배 ㄷㄷ,47,8 days ago,옥지의 성형 ~!
33,상습숭배 상습목격,11,8 days ago,옥지의 성형 ~!
34,웨이보는 어떻게 강팀이 되었는가?,7,8 days ago,옥지의 성형 ~!
35,웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강웨어강,4,8 days ago,옥지의 성형 ~!
36,뭐라는거야,2,8 days ago,옥지의 성형 ~!
37,[ 대주고 가는 유부 많은곳 찾았다 ]=들려서 어딘지 보고 가=,0,7 days ago,옥지의 성형 ~!
