,comment,like,time,title_list
243,E 스포츠의 아버지,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
244,Chills. Even after it’s all over. I still get chills from this,1,1 day ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
245,I literally cried tf I want T1 to win this 4th trophy T^T GOODLUCK T1,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
246,Eu preciso dessa trilha sonora  04:19,8,3 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
247,It's like his making his farewells  for his Teammates and the future next generations of T1.,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
248,제발 티원 가자 ㅠㅠ 정말 열심히했고 누구보다 사랑한다  가보자 자랑스런 한국 최고의 팀 T1,5,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
249,"The best song in LOL history so far is probably Legends Never Die. Coincidentally, 2017 - the release year of LND, was also the year that Faker had to witness not only his red dynasty of SKT but also LCK starting to crumble. Yet, the emperor remained, waiting for the day that his reign would once again return to its former glory. If lore-wise, Azir successfully returned from slumber, raising his Shurima Empire, Faker is bound to do the same this time, returning to the throne, making his red dynasty and LCK great again. Last year, he could not make it maybe he still had unfinished business with Ruler, a 6-year blood pay. But with it done, nothing now stands in the Emperor - The Goat's way ascending to, reclaiming his throne. So that once again, Faker will consolidate his undisputable GOAT crown and that all roads lead to the GOAT. +1 Azir skin for the GOAT.",50,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
250,레전드 네버 다이는진짜 롤 역대 최고의 노래다,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
251,What about ori instead? they do have Eazyhoon Azir already though,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
252," @swantv4361  I know there has been already 1 Azir skin for Ezhoon, but the 2 of them play Azir differently. Ezhoon's Azir keeps the distance and acts as a 2nd DPS source for the team, whereas Faker is the playmaker looking to turn the table with his R. Plus, Azir has been Faker's most played champion so if he asked for another Azir skin, I think Riot won't refuse him.",1,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
253,"Not Just LCK but whole world is behind you Faker and T1Regardless of what the result will unfold at the end, I just want to appreciate the legacy Faker and thus T1 Roaster gonna left behind.",6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
254,와.. 티저 다시봐도 너무 레전드네.. 너무 감동이다.,4,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
255,승패를 떠나 결승전에 올라온 두팀의 선수들을 응원 합니다.좋은 경기 후회없이 하시길..,1,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
256,"""The third trophy... was for myself. The fourth trophy... is for my teammates""One of the best transition moment follows!",28,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
257,LETS GO T1 MAKE THE DREAM COME TRUE,6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
258,"Estoy llorando, espero recordar esta final, este video y esas frases por el resto de mi vida ️",18,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
259,"""You either die a hero or live long enough to see yourself become a villain.""He became that villain but lived long enough to become the hero again",3,13 hours ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
260,"李哥那句第四座冠軍 為隊友而戰 . 讓我看哭了 QQ , 你是神",3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
261,This fourth trophy is for my teamates  OMG I cant hold this. T1 Fighting!!!!!,15,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
262,"I was there live, such an honor to witness this moment",6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
263,Still dunno how many times I watched this And everytime I watch it I dunno how many tears I've shed for that Faker scene and transition,5,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
264,One of my Most Favorited Tease. Smashed it out of the park on this one.,16,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
265,아씨 팀을 위한다고 할때 벌써 울컥하네ㅠㅠ,6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
266,"I hope we get an exciting Finals! Let's go T1, let's go Faker!!!",4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
267,"I might cry if Faker gets his fourth trophy today. Took so long, but never late",2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
268,"2013년은 초등학생이였던, 2015,2016년은 아직 어린 중학생일때 진심이아닌 한다길래 봤던 롤드컵, skt t1이 그당시 모든팀을 다 패면서 올라오는걸 본 어린아이는 티원팬이 될수밖에 없었고 성인이 된 현재 알만큼 알고 생각이 성장할만큼 한 지금 티원이 우승하는걸 꼭 보고 눈물을 흘리고 싶습니다",4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
269,"YES. let's do this for your teammates, for your country, for all your fans ",45,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
270,우리팀을 위한것입니다. 하고 노래나오는데 울컥해버리네,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
271,제발 이기자!! T1 화이팅!!!,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
272,"""The third trophy was for myself. The fourth trophy.. is for my teammates""What a good narrative for last year worlds.",12,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
273,ARREPIEI ATÉ OS CABELO DO KU PQP BIXO LENDAAA,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
274,"Lets goooo SKT, 90% of league is behind you !!!",244,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
275," @Ooyatsutime  Actually a lot of LPL has a lot of T1 fans, specially Faker fans...",6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
276," @Ooyatsutime  I am in agreement that LPL has the largest fan base. From an overall global leagues perspective regardless of what region you are from, true league fans (including some LPL fans) would be rooting for SKT. I am just sprinkling some positive vibes for T1 !!!",4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
277,Let's go t1! Keria and guma both deserve the W!,19,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
278,Winner,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
279,the others don't deserve it?,0,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
280,"The second best thing just closely behind seeing T1 lifts the trophy once again after 7 years is to see the true devastation from doubters, haters and trolls after moving and cheering to other teams against T1 at Worlds and finally get buried and destroyed just as them.Long live the King and the GOAT, T1 and Faker.",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
281,I hope the finals deliver.  I'm so excited for Zeus vs. TheShy and Faker vs. Xiaohu.,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
282,This is so much better than the actual game. It's crazy.,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
283,OMG! I'm so hyped! This is going to be great. Can't wait for Finals to start! Let's Go T1! Let's Go Faker!,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
284,IT ALL COMES DOWN TO THIS! GLHF TO BOTH T1 AND WBG! T1 FIGHTING!!!!,5,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
285,"0:49 자그맣지만, 하나의 이파리가 T1의 마음을 담아 뜨겁게 불타오르는 용의 날개가 되기를.. T1 파이팅!",3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
286,Let's get the 4th world trophy this time.T1 fighting!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
287,"No matter what, thank you T1",2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
288,this video is insanly beautiful and well made. it touched my hearth... it really did. i hope you can do something like this again.,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
289,"its not LPL versus the LCK, it is T1 versus the LPL is so cold and hits so hard, and GODS is such a great song to be accompanied with this teaser",4,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
290,Chills and Goosebumps. Stopped watching and playing for 5 years. This worlds brought me back. ,15,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
291,always with faker,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
292,Keria deserves to win this more than anyone!! Let's go T1!! You got this!!,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
293,우여곡절끝에 피는 꽃이 더 예쁘다고오늘 이 5명으로 마지막 경기가 될수도있는데 꼭 이겼으면 좋겠다...티원화이팅!!!!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
294,"The faker line about the trophy is one the best, but the line at 5:30 mark gave me chills as well!! ",0,1 day ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
295,웨이보 선수들도 결승 너무 수고 많으셨어요,2,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
296,This will be the greatest League of Legends series of all time. We are just one hour away of watching the greatest matches of all time in esports.,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
297,T1 we can do it!! Let's go!!!,17,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
298,10년간 한결같이 어떤 구설수나 논란도 없이 꾸준히 최선을 다한 페이커 이번에 4번째 우승을 통해 다시한번 웃을 수 있기를 응원합니다,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
299,우리팀을 위한우승에 눈물이난다,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
300,누가 뭐래도 난 티원팬인게 자랑스럽다 티원! 하나 둘 셋 티원화이팅!!!,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
301,티원을 위한 우승 부디 기록할수 있기를 바라겠습니다 티원 화이팅 !!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
302,Mucho desarrollo de personaje tuvo mi Faker VAMOOOO T1,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
303,끝까지 달려온 만큼 마지막은 최선을 다해보자 T1!!,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
304,팀을 위한것이라고 했을 때 진짜 광광 울었어,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
305,Vamos T1!!!!!!!! ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
306,"Thank you for those INSANE video, congrats everyone ",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
307,LoL GOAT Faker over the years:the third trophy... is for myselfthe fourth trophy... is for my teammates,4,16 hours ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
308,Congrats T1 <3,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
309,Best Of Luck to both teams!,22,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
310,THESE VIDEOS HAVE NO BUSINESS BEING THIS GOOD,6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
311,We're about to see the main protagonists fight for their friends. I knew TEAM synergy was a big part of this years world theme when thr first teaser came out but now I am more excited then ever to see SKT T1 Faker return to fight for T1,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
312,"Everytime you feel like crying, just go back and watch Guma's awkward wave 0:24  But yeah this was insane editing, gj!",8,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
313,"5:29 ""No es la LPL contra la LCK, es T1 contra la LPL y les gusta esa situación"" el verdadero 1v5.....  Cine.",6,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
314,웨이보는 어떻게 강팀이 되었는가 ,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
315,"This teaser is just so exciting, the editing and music are way too good.",38,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
316,It truly does.I really need the compilation of worlds teasers remixed version of musics,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
317,"미쳤다 ""네 번째 우승은 우리 팀을 위한 것입니다.""",8,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
318,I am literally crying right now!! Let's go T1!!!!!!!!!!!!!!!!!!!!!!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
319,que sapecada da t1,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
320,"PLEASE T1, I'M BEGGING YOU FROM THE BOTTOM OF MY HEART. DO YOUR BEST AND SHOW THE WORLD WHO ARE THE REAL CHAMPIONS",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
321,Nicely done. Now it's time to reclaim their spot. I hope T1 wins it this time.,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
322,Best anticipation for the final teaser! Lets go T1 and WBG for 5 Games!,6,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
323,this year is the first time i've ever cried watching worlds tease... every tease made me crying,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
324,"i wish they gave xiaohu more lines, his story arc was the biggest in WBG, to finally get to worlds, he would really depict that imoogi vs faker.",1,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
325,Massive goose gump ! Go T1 !,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
326,T1 please make it one more year with this roaster regardless of today's results ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
327,Ahh these teasers man! Riot never disaapoint us with them! T1 Fighting!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
328,"Faker = Imoogi narrative + the fourth trophy being wholeheartedly dedicated for his teammates.... hits hard, T1 Faker really is the Greatest. Of. All. Time T1 Fighting",18,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
329,"come back here again after T1 winning Worlds make think that Faker's 4th Worlds victory is really something that straight out of a fairy tale : ""an unkillable demon king known for his greatness fell onto the hands of the new kings. and then the demon king pursue his journey to take back his throne. until one day he met 4 guys who changed him entirely. from an unkillable demon king, into a human. like imoogi. a serpent once symbolize as death, and destruction. turned into a celestial creature. a dragon.""",5,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
330,I left my office in Gwang Hwa Mun area and was shocked to see how many fans and supporters gathered there to cheer for Faker and his teammates.  Played the song from New Jeans in my car to get back home :-),5,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
331,아니 너무 지리는데...저번 티저부터 페이커 화면 바뀌는 연출 좋다,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
332,Amazing! Good Luck T1 and Faker!!,0,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
333,Here cheering for T1. T1 TAKE MY ENERGYYYYYY,41,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
334,Vamos T1!!! 🥹,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
335,"우리가 가는 곳이 곧 길이고, 역사다 T1 화이팅!",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
336,4:56 ,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
337,제발 우승해줘 T1 너희들의 노력이 보답받길 바란다,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
338,"""The fourth trophy is for my teammates"" - Fakerthis part made me cryyy. may the best team win",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
339,세번째 우승은 저 자신을 위한것이었습니다. 네번째 우승은 ’우리팀‘을 위한것입니다. 와…,7,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
340,This teaser is literally a true cinematic masterpiece,5,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
341,好感人 為了隊友而戰,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
342,"that was so good, I didn't want it to end",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
343,Damnit. When Faker said the fourth trophy is for my teammates. It makes me change my mind. I really want TheShy to win now i want T1 to win. I just love both of these teams ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
344,this is so well made it got me tearing up,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
345,I cried right after the moment faker  said the fourth trophy is for his teammates. ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
346,페이커는 그 자체로 역사이다보니 그냥 티저 뽑힐 때마다 역대급이네,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
347,개인적으로 이 영상에서 구마유시의 미소가 너무 자연스럽고 멋졌다 기분이 덩달아 좋아지더라 고생했고 축하한다 T1 그리고 아쉽지만 웨이보도 다음에 파이팅,3,3 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
348,ㄹㅇ 웃으면서 걸어와주는게 캐치하고나니 개뽕차네,1,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
349,Let's go T1,33,4 days ago (edited),T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
350,마지막 티저는 소름돋는게 아니라 왤케 슬프냐 .. 보는데 갑자기 울컥하네,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
351,I love every cinematic Riot made ,2,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
352,i'm literally crying i don't want this worlds to end,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
353,"If I cried, everything was so emotional ️i love t1",4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
354,단 한팀만이 전설이 됩니다.,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
355,Estoy realmente emocionada y con los nervios al mil. Vamos mi T1️,14,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
356,Congratz T1 for the 4th title!!!Keria about last year (my fav part): 02:48,4,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
357,제발 우승해줘..  티원 준우승 5스택이면 많이 쌓았다 후회없이 하고오자 화이팅,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
358,Too much for a teaser. Too much emotions. I just love it. May GOD make Faker the champoin for the sake of his passion and his teammates.,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
359,Juego LoL desde la season 1. Jugué en NA con 190ms. Vi la llegada de los servidores a LATAMMe he visto todos los Mundiales,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
360,"Ya la tenemos en casa, alégrate junto a mi. ",0,12 hours ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
361,"Y larga vida a Bengi, quien entrenó a Zeus y a Oner",0,12 hours ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
362,I got chills when faker said the 4th trophy is for his team..,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
363,LET'S GO T1 WON. GO FOR IT WORTH. BE A DRAGON.,15,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
364,""" Não é LCK vs LPL, mas sim T1 vs LPL"" -- GOOOOOOOOOAAATTT",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
365,This really did gave me a goosebump! It's like SSG vs T1 2017! KEEP FIGHTING FAKER!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
366,원호햄 우승해줘... 최고의 선수 중 하나였지만 긴 시간 스크한테 패배해서 많이 힘들었지만 이번 기회엔 크게 한번 되갚아줘. 원호햄이 우승하고 자극 받아서 내년엔 우지도 대성하면 좋겠다는 바램뿐임 t1 웨이보 화이팅. 결과가 어떻든 오꽉가자,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
367,하 ㅠㅠㅠㅠㅠ 팀원을 위한거라고 할 때진짜... 그냥 눈물이 주륵..,3,3 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
368,"""This might be the last year this roster will play together!"" hits different ",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
369,What a legend. This fourth trophy is for my teammates,5,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
370,Thật cảm động khi nghe câu “Chiếc cup thứ 4 là dành cho đồng đội tôi”,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
371,The production is so op riot is nailing it with valorant and lol both eSports feels like a scripted movie vct ending like eg and wbg vs t1 props to riot this year,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
372,That line The fourth trophy is for my team so deep,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
373,샤오후 중국어 성조 너무 멋있다 외모까지 더해졌으면 슈퍼스타였을듯,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
374,Goosebumps. And a shiver down my spine.,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
375,Yet again the teasers have matched the hype of the games and this finals truely means everything for these players + bonus of new jeans of course,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
376,퀄리티 대박이다…. 눈물 찔끔 흘렸네 ㅠ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
377,Phil and his team are legends for these teasers,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
378,"Heart says T1, but the head says..",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
379,TheShy: The second trophy I will savour every momentFaker: The fourth trophy is for my teammates,0,12 hours ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
380,"Let's go T1, it is time to be the dragon.",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
381,4:54 팀을 위한 한경기 응원합니다!,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
382,You know Faker is an invincible fleet that has never been defeated by the Chinese team. So I believe that T1 will show that it's still a legend today,2,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
383,단 한팀만이 전설이 됩니다 ㄷㄷㄷㄷㄷㄷㄷ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
384,Thánh ca legend never die vang lên là lúc faker bước lên đỉnh vinh quang. Với chiếc cup thứ 4 của riêng mình và t1 nói chung. Tiến lên nào Form Việt Nam with ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
385,most anticipated series of all the worlds LFG,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
386,"omfg i started crying ""the fourth trophy is for my teammates"" why would they do this to me",5,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
387,"4:46 ""네번째 우승은... 우리 팀을 위한것입니다.""",7,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
388,"this is so good, but my fave will always be T1 vs JDG",4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
389,I almost cry when Faker smiles and looks back at his teammates,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
390,LET'S GO T1!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
391,와 네번째 우승은 우리팀을 위한것이다 하고 뒷모습 사진 왤케 멋지냐 ㅋㅋㅋ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
392,Let's go T1!!!,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
393,Teasers this Worlds is godlike. All of them is so hype.,4,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
394,"T1 meteu foi logo um sabugo na  WBG , pareceu ate CBLOL",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
395,"Yes, they have  easily won the final and made Faker become the legend of all LoL time",2,2 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
396,LET'S WIN THIS WORLDS T1 FOR THE LAST TIME!,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
397,Lets go KERIAAAAAAA !! Go T1  win or lose ,0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
398,Let's go T1!!!!!!!!!,5,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
399,"I want to see 5 game series. Don't care who wins, 5 game series in a world finals like last year is awesome.",35,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
400,That faker line went so hard it made me teary ,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
401,I hope the montage/editor man will get a raise,3,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
402,Only one team can become legends and it will be T1,1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
403,"Go and take it T1, go and take it Faker, go and take it Keria",0,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
404,"If T1 wins, I'll play league for the rest of my life.",1,4 days ago,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십
