,comment,like,time,title_list
0,"이걸보니 메시,손흥민,페이커,뉴진스 사이에서 혼자만 나라에서 월급받는 김선태 주무관이 새삼 대단하다고 느껴지네",9.9K,2 days ago,이걸 틀려?
1,기습숭배 ㅋㅋ,936,2 days ago,이걸 틀려?
2,새삼... 문득...,369,2 days ago,이걸 틀려?
3,기습줘팸 ㄱㄷ,455,2 days ago,이걸 틀려?
4,이젠 페이커 기습이든 뭐든 정말로 숭배하는게 맞다,144,2 days ago,이걸 틀려?
5,메시 손흥민 페이커 뉴진스 김선태 중 유일하게 나라로부터 정년보장받는 갓선태,372,2 days ago (edited),이걸 틀려?
6,월클과 월급ㅋ,234,2 days ago,이걸 틀려?
7,기습숭배 ㅋㅋㅋㅋㅋ,22,2 days ago,이걸 틀려?
8,혼자 녹봉 받는건 반칙이지,108,2 days ago,이걸 틀려?
9,"근데 제일적ㅇ..,.",31,2 days ago,이걸 틀려?
10,손흥민 메시도 a매치 뛸때마다 받는데,5,2 days ago,이걸 틀려?
11,"Здравствуйте, это София, живущая в России. Благодаря дяде Чунджу я смог получить 1-й класс по корейской географии. Большое спасибо.",17,14 hours ago,이걸 틀려?
12,김해시민 모두를 대표해 충주시를 응원합니다!,39,1 day ago,이걸 틀려?
13,왜 김해시민을 대표하시죠?? 지나가던 김해시민 어리둥절?,0,5 minutes ago,이걸 틀려?
14,선태쌤 정말 명강의 잘 해주십니다!! 저도 이번에 강의 듣고 1등급에서 9등급으로 성적 수직상승했어요! 고구려대 백제대 신라대 합격해서 삼국통일 전형으로 고려대 써볼려구요 감사합니다!! ,1.5K,2 days ago,이걸 틀려?
15,삼국통일전형은 고려대가 아닌 (방송)통신대입니다. 감사합니다.,205,2 days ago,이걸 틀려?
16,삼수는 조선대로 하시나요?,120,2 days ago,이걸 틀려?
17, @System.Error. 삼(도)수(군통제사)라네요~,91,2 days ago,이걸 틀려?
18,ㅋㅋㅋㅋㅋㅋㅋㅋ미텻넼ㅋㅋㅋ,8,2 days ago,이걸 틀려?
19,앗 고려대 가고 싶었는데 못 갔는데. 일단 저도 고구려대부터 도전해 보고 싶네요 ㅋㅋㅋ,35,2 days ago,이걸 틀려?
20,가야대 가세요 ㅋ,14,2 days ago,이걸 틀려?
21,아 왜 전부 실존하는 대학교냐고ㅋㅋㅋㅋ,32,2 days ago,이걸 틀려?
22, @sooo12345 ㅋㅋㅋㅋㅋ통일신라대,11,2 days ago,이걸 틀려?
23,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3,2 days ago,이걸 틀려?
24,1:50 1:50,2,1 day ago,이걸 틀려?
25,좋은 연설이었습니다. 영상 내용처럼 충주의 자주국으로서의 독립을 적극 지지합니다.향후 완만한 외교활동 기대하겠습니다.,8K,2 days ago,이걸 틀려?
26,충주인민민주주의공화국을 지지합니다,1.4K,2 days ago,이걸 틀려?
27,Free Chungju🇰🇷,995,2 days ago,이걸 틀려?
28,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,58,2 days ago,이걸 틀려?
29,나는 충주의 독립을 지지한다,445,2 days ago,이걸 틀려?
30,한국이 서울공화국이 되는 것을 막고자 직접 수도가 되기로 한 충주...,597,2 days ago,이걸 틀려?
31,충주독립만세,125,2 days ago,이걸 틀려?
32,이 소식을 들은 북의 kim은 미사일의 방향을 충주로 틀었다고한다,210,2 days ago,이걸 틀려?
33,인천시민으로서 충주 독립 지지합니다.,84,2 days ago,이걸 틀려?
34,ㅋㅋㅋㅋㅋㅋㅋ 쿠데타는 씹,21,2 days ago,이걸 틀려?
35,충주의 린민들은 기립하시오!,68,2 days ago,이걸 틀려?
36,와 근데 진짜 사람 역량으로만 봐도 하나의 도시로 이정도 컨텐츠뽑아내는건 대박아닌가 감각이 확실히 있는듯,1.9K,2 days ago (edited),이걸 틀려?
37,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]들려서 어딘지 보고 가세용서둘러요 얼른,0,21 hours ago,이걸 틀려?
38,선생님 강의 챙겨본 덕분에 15급공무원이 될 수 있었습니다. 부모님이 “난신적자”라고 고향에 플래카드도 걸어주셨대요 정말 감사합니다,3.5K,2 days ago (edited),이걸 틀려?
39,ㅋㅋㅋㅋㅋ난신적자,215,2 days ago,이걸 틀려?
40,??: 빨리 때리 치아라~~,446,2 days ago,이걸 틀려?
41,???:14급 15급 공무원,211,2 days ago,이걸 틀려?
42,우리 선태는 이제7급인데 벌써15급이 되셨군요 앞으로 선태 많이 끌어주고 땡겨주세요~선배님,326,2 days ago,이걸 틀려?
43,이건 또 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,36,2 days ago,이걸 틀려?
44,빠글빠글한 노량진에서 성공하셨군요,40,2 days ago,이걸 틀려?
45,올라갈 일만 남으셨네요!등급전 열심히 돌리셔서 전설 공무원 주차하십쇼! 화이팅!,26,2 days ago,이걸 틀려?
46,???:14급 15급 공무원이나 하면 딱 맞을...,49,2 days ago,이걸 틀려?
47,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4,2 days ago,이걸 틀려?
48,충주맨 진짜 대단한게.... 제작비 거의안들이고 조회수 잘뽑아냄.. 저자리에있기 아까운인재,5.1K,2 days ago,이걸 틀려?
49,그자리에 있기때문이징. ㅋㅋㅋ 근무지 이탈은 뭐다?,353,2 days ago,이걸 틀려?
50,저 자리에 있기 때문에 인기가 있는 것임.,473,2 days ago,이걸 틀려?
51,본인 인듯 ㅋㅋㅋㅋ,27,2 days ago,이걸 틀려?
52,ㄹㅇㅋㅋ 개천재임,21,2 days ago,이걸 틀려?
53,옛날 보겸 느낌,7,2 days ago,이걸 틀려?
54,충주시장 조길형의 자리를 뺏으라는 뜻 깊은 메세지... 홍보맨도 이해했을거라 생각합니다,126,2 days ago,이걸 틀려?
55,저 자리에 있기에 더 빛나는것은 맞음 하지만 분명 충주랑 비슷한 인구수에 비슷한 인지도의 지역은 널렸을텐데여기까지 온사람은 충주맨뿐임 어딜가도 이정도 인기는 아니겠지 허나 돈은 지금의 몇배는 가능하지 사업하는 사람은 안다,213,2 days ago,이걸 틀려?
56,제작비가 없기때문에 더 잘하려고 노력하는겁니다ㅋㅋ,17,2 days ago,이걸 틀려?
57,제작비를 사비로 지출해서에요,4,2 days ago,이걸 틀려?
58,ㅋㅋㅋ공무원 아니면 근데 아무도 안보는거 아니누 ㅠㅠ,9,2 days ago,이걸 틀려?
59,저도 이번 한국지라 선태쌤 덕에 5등급 나왔습니다 !! 감사합니다,5.5K,2 days ago,이걸 틀려?
60,[[ 맥또날드 햄버거 깁티 1OOOO짜리 ]]올려놓았으니 써요 많이남았어욥 >_< !!,7,2 days ago,이걸 틀려?
61,누가 가르쳤는데?누가 배웠는데 ㅎㅎ,330,2 days ago,이걸 틀려?
62,달걀1게에 100백원!!!를팔아서구독자500천명직을거야야!!!!!! 욥 >_< !!,8,2 days ago,이걸 틀려?
63,루퍼트왕자의눈,0,2 days ago (edited),이걸 틀려?
64,국평오니까 평타쳤네 ㅋㅋ,216,2 days ago,이걸 틀려?
65,빨리 때리 치아라!,96,2 days ago,이걸 틀려?
66,선태쌤 1타만요 ㅠㅜ,12,2 days ago,이걸 틀려?
67,ㅈㅅ하지마 조회수 줄어든단말이야,9,2 days ago,이걸 틀려?
68,와 지린다,2,2 days ago,이걸 틀려?
69,덕분에 이번학기 아무도 받아본 적 없는 E학점을 받았습니다. 감사합니다.,4,1 day ago,이걸 틀려?
70,한국사에서 충주문제 나오자마자 업로드하는 충주맨 폼 미쳤다 ㅋㅋㅋㅋㅋㅋㅋ,2.1K,2 days ago,이걸 틀려?
71,[[ 맥또날드 햄버거 깁티 1OOOO짜리 ]]올려놓았으니 써요 많이남았어욥 >_< !!,0,2 days ago,이걸 틀려?
72,ㅋㅋㅋㅋㅋ,7,2 days ago,이걸 틀려?
73,한국사 아니고 한지라구옄ㅋㅋㅋㅋㅋㅋ,237,2 days ago,이걸 틀려?
74,한국사가 아니고 한국지리,14,2 days ago,이걸 틀려?
75,지구과학입니다,46,2 days ago,이걸 틀려?
76,사실 물리입니다,12,2 days ago,이걸 틀려?
77,사실 세계사라네요,7,2 days ago,이걸 틀려?
78,미적분입니다,10,2 days ago,이걸 틀려?
79,부동산법입니다,1,1 day ago,이걸 틀려?
80,전기산업기사 실기입니다,1,1 day ago,이걸 틀려?
81,쌤 덕분에 이번에 한국지리 6등급에서 8등급까지 등급 상승했어요!! 내년에도 열심히 들을게요!!,360,2 days ago,이걸 틀려?
82,우리 게이는 등급 상승이 뭔 뜻인지 모르노?,8,2 days ago,이걸 틀려?
83, @LJJ.5551 드립일텐데??,52,2 days ago,이걸 틀려?
84, @user-ww2tj6bf7b 저것도 드립임,6,2 days ago,이걸 틀려?
85, @cadoabo6021  아하...,2,2 days ago (edited),이걸 틀려?
86, @cadoabo6021  좋아요가 한명밖에 없는데 사람들이 이해를 못했으니까 드립이라쳐도 실패한 드립,5,2 days ago (edited),이걸 틀려?
87,숫자 상능은 맞누ㅋㅋ,1,2 days ago,이걸 틀려?
88,ㅋㅋㅋㅋㅋ개웃기네,0,2 days ago,이걸 틀려?
89,오 대단하네 9등급도 가능하겠다 화이팅!,0,1 day ago,이걸 틀려?
90,저희 어머니 이번에 충주 처음 가십니다. 충주하면 유명한게 뭐냐고 하셔서 거긴 한 주무관이 명소라고 소개했습니다. 감사합니다,4.6K,2 days ago,이걸 틀려?
91,아니 애초에 장소가 아니자낰ㅋㅋ,542,2 days ago,이걸 틀려?
92,ㅋㅋ충주시청 다녀오시라고 그냥~,444,2 days ago,이걸 틀려?
93,길형이형도 유명하죠 ㅋㅋㅋㅋ,184,2 days ago,이걸 틀려?
