,comment,like,time,title_list
0,티원은 누가 뭐래도 나에겐 최고의 팀이다 오늘 결승 화이팅하자 제오페구케 환하게 웃는 모습 보고싶다오늘 웃는거 보고 진짜 너무 행복해서 눈물 흘렸다 이제 전원 재계약하고 내년 그랜드 슬램 노려보자 티원 화이팅!!!!,2.2K,4 days ago (edited),나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
1,고양이는 어떻게 세상을 구했나!,43,4 days ago (edited),나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
2,ㅎㅇㅃㄲㄹ,1,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
3,너도? 나도!,8,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
4,재계약 싹다하자,31,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
5,오늘 이기자!!,4,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
6,떨린다..,1,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
7,억까해도 증명해주는팀이라서 너무멋있음,13,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
8,3대떡이 정배일듯,1,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
9,제오롤전케 ㅎㅇㅌ,2,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
10,제발 진짜 제발....,1,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
11,This was definitely the true final. My blood pressure was so highI can’t believe Keria really yelled “ NEW JEANS HERE I COME!” ,234,4 days ago (edited),나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
12,Me to loved it  this guy is a genius!!,3,1 day ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
13,"No fr the semifinal was the final, the actual final seemed like a bonus scene in the film credits",3,15 hours ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
14,T1..... LCK의 자존심을 지켜주셔서 감사합니다.덕분에 행복한 한달 이였습니다.. 우승 축하드립니다.,414,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
15,제모지상주의 1화박형식:으악!재발날그만좀게롭혀!!일진들:더러운녀석!너가왁싱할때까지,0,3 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
16,상혁이 이렇게 읊조리듯이 말하는거 너무 진심인 거 같아서 와닿는다…자신의 모든 걸 다 바쳐서 하는 도전은 그 끝이 뭐가 됐든 아름답다고 생각해. 항상 응원할게 티원 화이팅!!,96,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
17,확실히 책 많이 읽은 티가 남,6,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
18,"I love how Keria seems more excited about meeting NewJeans and Baekhyun than getting into the finals!! My man has his priorities set straight, hell yeah",51,2 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
19,"정말 아깝게 우승을 놓친 때가 여러 번 있었고, 다소 아쉬운 모습을 보여준 적도 있지만 결국 그 모든 것을 극복해내고 월즈 결승까지 다시 한 번 올라온 티원 선수들 정말 수고 많으셨습니다. 결승에서 모두 후회 없는 경기 보여줄 수 있기를 바라며, 티원의 우승을 응원하겠습니다.",125,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
20,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라=,0,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
21,제모지상주의 1화박형식:으악!재발날그만좀게롭혀!!일진들:더러운녀석!너가왁싱할때까지,0,3 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
22,케리아 코치진들 다 환호할때 아직 우승안했다 하면서 방심 안하는거 너무 멋있다 캬,408,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
23,구마유시 다큐에서도 그랬듯이 22년도에 준우승 하고 마인드가 바뀌었나봐요 안들뜨고 저런말 하는거보니까,73,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
24,백신한방 씨게맞아서..아니 사실 한번 부두술 걸렸다가 치료하는데 1년걸렸으니,77,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
25,개빡겜ㄷㄷ,1,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
26,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라=,0,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
27,"7년동안 기다렸지만 후회는 없습니다 . 7년동안 폭풍우를 견디며 성장한 티원이라는 꽃은 이 세상 어떤 꽃보다 아름다웠습니다 . 7년이라는 긴 시간동안 고생해주셔서 정말 감사합니다 . 앞으로도 꾸준히, 영원히 티원이라는 팀을 온 힘을 다해 응원하겠습니다. 선수분들 정말 수고 많으셨습니다 . 사랑합니다 티원!",43,3 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
28,6:45 진짜 승리에 취하지 않고 바로 피드백 해주는거 너무 좋다 바론 안에 와드 있는거 체크 못한거 찝어주려고 애들 오는거 보이자마자 일어나네,26,3 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
29,"I'm 41 and i almost cryed, when T1 beat JDG. That indescribable feeling of happiness.The only thing that held me back was that this is not the finale. If you defeat WBG, nothing will stop me from crying tears of happiness. Good luck.",389,4 days ago (edited),나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
30,"Their job is not done, lets support them till the end!",22,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
31,끝날때까지 끝난게 아니다모두 끝나고 밝게 웃을 수 있길,8,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
32,Me either and I'm only 20,7,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
33,I got your back im 52 still playing but wildrift since its hard for me to sit longer in my chair,5,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
34,same you're not the only one anyways i'm 54,0,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
35,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라=,0,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
36,I'm 67 and I have been supporting T1!,2,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
37,Crying right now?,5,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
38,이날을 위해 티원을 응원했습니다. 물론 못할 때 비난도 하고 왜 밴픽을 저렇게 하나 의심도 많이 했습니다. 오늘 밴픽도 너무 깔끔했고 선수들의 폼도 미쳐 날뛰어서 정말 훌륭했다고 생각합니다. 그동안 고생 많았습니다. 이번 월즈 우승이든 실패든 이멤버로 마지막 무대라는게 너무 아쉬울 뿐입니다. 그래도 페이커의 t1의 4회 월즈 우승을 볼수 있어서 큰 영광이었습니다.,15,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
39,ㅇㅈ 벤픽 진짜.. 그저 톰버지..,1,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
40,못할 때 비난한게 자랑도 아니고 당당히 얘기하네 ㅋㅋㅋㅋㅋ,0,13 hours ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
41,"페이커선수가 롤드컵 트로피드는 모습 한번 더 보고싶었는데 봤으니 됐다이제 놓아줘야겠지정말 더는 바라지않을게요T1,페이커 정말 축하하고 ",9,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
42,어허 어디가 ㅋㅋ,4,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
43,내년에도 계속된다,4,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
44,민석이 우제가 준우승을 해서 우는 것이 아닌 자신이 원하는 우승을 해서 감격의 눈물을 흘리는 걸 보고 싶네요... 저도 울 거 같아요.... + 상혁이 형 현준이 민형이 기뻐하는 모습도 보고싶어...,767,4 days ago (edited),나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
45,젠지팬이지만 제오페구케의 우승을 8강 이후 정말 바랐었는데 성불하게 되셔서 너무 축하드리고 너무 잘했다 진짜,16,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
46,"결승전 티저 보고왔는데 대상혁이 ""네번째 우승은 우리 팀을 위해서 입니다"" 했을때 진짜 왈칵하더라... 얘들아 할 수 있다 다같이 웃고 울고 즐기면서 나아가자 온 힘을 다해 응원할게 화이팅",21,4 days ago,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
47,"얼마나 간절한지, 수 없이 넘어졌음에도 다시 일어나서 노력 해왔는지가 모든 순간 보여서.. 나도 모르게 감화되고 이 팀을 응원하게 되는 것 같다. 마지막까지 이 기세 몰아서 우승하길, 슬픔의 눈물이 아니라 기쁨의 눈물이 되길 간절히 바라며 응원합니다!!! 티원 제오페구케 그리고 감코진님들 모두 화잇팅!!!!!!!!!!",37,4 days ago (edited),나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강
