,comment,like,time,title_list
0,뉴동누 뉴동누… 발음이 좀 어렵나..??,89,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
1,주변에 꿈의집 하는사람 누나밖에 없어요... 인생갓겜인 메이플로 갈아타시죠ㅋ,8,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
2,⁠ @MINGOY_YAMAN  메이플도 비슷함ㅠ,3,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
3, @_ladybug0 갓겜입니다만,3,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
4, @MINGOY_YAMAN  꿈의집 하는 양쪽 팬 추가요!,1,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
5,갓겜 꿈의집,1,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
6,대박 누군가했는데 유돈 노미 셔럽 보이 레전드,2,1 day ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
7,누나도 떨하시나보네 ㅎㅎ,3,1 day ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
8,무슨 동네 누나가 1군 걸그룹 멤버임 ㅋㅋㅋ 비현실적이잖아,2,20 hours ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
9,미스에이 민님 오랜만입니다. 한국에는 아직도 그때를 추억하는 팬들이 많아요^^오랜만에봐서 좋았네요~,15,1 day ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
10,한국에서 연예인할 때보다 훨씬 행복해 보이네요. 보기 좋네요. 앞으로도 행복한 뉴욕생활 보내시길.,108,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
11,미쓰에이 민의 최근 소식이 담겨있는 이번영상은 너무 귀하고 재미있어서 몇번이고 돌려보았답니다한국의 스타 아이돌 민의 최근모습에 또 한번 놀랬습니다미국에서 지하철타고 다니며 검소한 생활을 하고 직접요리 하는듯한 모습과 야만동생과의 일상에서 꾸밈없이 소탈한 민의 모습이 담겨있는 이번영상은 너무나 뜻밖이여서 놀라울 따름입니다야만을 통해 다시 느낀 민,41,2 days ago (edited),전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
12,미스에이 민 너무 건강한 에너지가 느껴져서너무 보기좋네요~!  응원합니당,108,3 days ago (edited),전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
13,미쓰에이,0,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
14,아이고 감사합니다ㅠ 바로 수정했습니다!,0,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
15,의외의 대박 인맥이네요. 요가 스튜디오 관리자가 뜬거면  누군가 회원이 컴플레인 했을 가능성이 크죠. 주짓수 같은 몸부대끼는 격투기는 진짜 힘들죠. 오늘 기억에 남는건 민님과 브리또네요. 오늘도 재미있게 봤습니다.,81,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
16,뉴동누 민누나 여전히 예쁘고 에너지넘치시네 너무 반가웠구 재밌었음 ^^,58,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
17,2022년 9월? 민고이님 시간여행 폼 미쳤다+재빠르게 수정완료ㅎㅎㅎ,77,3 days ago (edited),전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
18,민고이 영상 특. 반드시 촬영 날짜를 체크해야함~~ 등장하는 영상들을 볼떄마다 시공을 초월함~,46,3 days ago (edited),전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
19,민 수수하고 청순하고 넘나 귀엽당,11,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
20,민고이님의 시간은 거꾸로간다 이래도 좋고 저래도 좋으네요! 오늘도 재밌게 보겠습니다!,7,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
21,띠용- 어떤 인연이지 ㄷㄷㄷ민님 오랜만에 보니 반갑고 행복하게 지내시는거같아서 보기 좋아요 ㅎㅎ,20,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
22,민고이 시간여행자 세계관ㅎㅎㅎ 한결같고 넘 좋아요~수염이 빨리 자란지 알았더니,97,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
23,며칠전 사직체육관 롤드컵4강전 관람하고 뉴욕간거죠?,2,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
24, @shsue8921 예전 미국영상 이제 올리는것 같아요.,0,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
25,와 민고이 뉴스에 유튭채널 인용해서 기사도 나고 성공했다이 ! 이틈을 타서 민고이 채널 한번씩 보십셔 바로 입덕해서 모든 영상 정주행 합니다,3,2 days ago (edited),전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
26,와.. 미쓰에이 데뷔날에 입대날이라 아직도 기억에 강렬하게 남는데 뉴동누라니..ㅎ,60,3 days ago (edited),전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
27,진짜 잼있는데 빨리 구독자 승승장구 하셔서 좋은여행 많이 하시면 좋겠습니다,4,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
28,곽튜브 - 잰잰바리 - 민고이로 이어지는 곽컴퍼니 영상 릴레이 너무 좋구요!미스에이 민님~ 너무 오랜만이예요. 솔직히 미스에이 시절땐 수지를 젤 좋아했지만ㅋ,16,3 days ago (edited),전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
29,민 님 힘들어서 물 마실 때 귀여우셔요 ㅎㅎㅎ민 남매 운동일기 재밌게 봤습니다 :),36,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
30,운전하면서 틀어놓다가 너무 보고싶어 다시 봄,1,1 day ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
31,"미스에이 민을 여기서 보게될줄이야,,, 어떻게 친해지신건지 궁금해용 너무 신기하고 반갑네여",58,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
32,요즘 재밌게 보고 있는 kbs 예능 골든걸스에서 다음주 미스에이 노래한다고 해서 민님 뭐하는지 궁금했는데 뉴욕에서 잘 살고 계셨군요,18,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
33,그 시절 미스에이는 전설이었지.. 너무 반갑네요 민님 ,39,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
34,민고이 어떻게 알게됐는지어떻게 친해졌는지 설명부터 해야지 ㅋㅋ,160,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
35,진짜 민고이 머하냐~,5,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
36,진짜 민고이 존나 답답하네 ㅋㅋㅋㅋㅋㅋㅋ,8,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
37,ㅋㅋㅋㅋㅋㅋㅋㅋ민고이 머찍었눜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
38,ㅋ ㅋ ㅋ 제일 궁금한걸 안 알랴줌 ㅋ ㅋ ㅋ ㅋ,2,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
39,네 알려드렸습니다~ @onething000 ,0,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
40,ㅋㅋㄹㅇ,0,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
41,ㄹㅇㅋㅋ,0,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
42,이건 무슨조합이죠ㅋㅋㅋㅋㅋ 민님 어떻게 알게 된건지 궁금해요!!,74,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
43,민고이는 어디에나 있고 어디에도 없다,72,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
44,민고이 만물설,0,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
45,요깃다,0,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
46,와 미쓰에이 민이 나오다니...대박 뉴욕에서 행복하세요!!,0,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
47,아니 무인도에서 장작 때면서 살 것 같은 야만의 동네누나가 미쓰에이 민이라니 ㅎㄷㄷ,4,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
48,진짜대박인데요 !!^^  맛좋은산이 때 피쳐링이 대박이였는데^^,3,1 day ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
49,민고이 순수해보여서 좋음..,13,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
50,인급동 36  며칠전엔 잰잰님이 인급동 찍으시더니 대단,1,1 day ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
51,민씨 너무 오래간만에 이렇게 생각지도 못하게 뵈니까 참 반갑습니다.,41,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
52,민고이는 예측불가능 낼 우즈벡영상 올라와도 놀라지들마셔요,1,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
53,처음에 몰랐는데 미쓰에이 민님이라고해서 알아봤네요~타지에서도 건강하게 잘 지내세요~~~,2,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
54,타코 너무 맛있어 보어요~ 저도 한번 뉴욕 길거리에서 뵜으면 여한이없겠어요 <민>곤이 화이팅!,2,5 hours ago (edited),전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
55,미쓰에이 민을 민고이 채널에서 볼줄은 상상도 못했네 ㅋㅋㅋ 민님 행복하게 잘 살고 계시는구나,6,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
56,옛냘에 할로윈 때 민님 귀신분장한 거 본 적 있는데. 미쓰에이 민님이라니 대단한 인맥,1,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
57,와 민 진짜 오랜만이다 ... 행복해 보여서 좋네요️,0,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
58,민 왜케 귀엽냐 ㅋㅋㅋㅋㅋㅋㅋ,4,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
59,아오 야만님요가 하심서 괴로워 하는 모습을 봐야 했는데ㅋㅋ저두 얼마전부터 요가 시작했는데 몸이 워낙 뻣뻣하다보니 강사님 따라 하다보면 아파서 땀이 어찌나 나나 몰라요주짓수는 유도 레슬링이랑 비슷한듯요,5,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
60,아니 민님은 어떻게 알게된건지 간단하게나마 비하인드를 알려주셔야죵  궁금해욧!!,5,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
61,동상 저 부분만 닳은거 겁나 웃기네 ㅋㅋ   뉴욕 동네 누나 너무 귀엽네요 ,2,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
62,민 왜케 표정이 귀엽지 ㅋㅋㅋ  멍~ ㅋㅋ,3,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
63,민고이 고츄 자랑 폼 미쳤다..,2,2 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
64,민고이 멀티버스 미쳤다 ㅋㅋㅋㅋ,2,1 day ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
65,민고이~~~뉴욕서 잼나게 즐기네요 시간될때 맘껏행복을 누리세요ㅎㅎ,5,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
66,곽 유니버스 민고이 타임슬립 폼 미쳐따 🫰,8,3 days ago,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6]
