,comment,like,time,title_list
0,"A music video that breathes life into a song and paints a new realm before your eyes, akin to an enchanting journey through a world of colors and energies",79,13 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
1,They are the definition of monster rookie. Slaying hard since debut. Nationally internationally both,965,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
2,and globally,20,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
3," @joeE-kt8of  as opposed to the non-global international indeed, thank you for the precision.",18,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
4,im 500th like yippee,2,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
5,ETA의 힙한 느낌이 취향이지만 OMG와 슈퍼샤이의 귀여운 느낌도 요즘 가수들한테 보기 힘든 컨셉이라 그런가 희소성 있어보이고 좋네 동시에 GODS도 소화하니 재밌는 걸그룹이다,85,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
6,I'm so impressed with how stable their vocals are ,113,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
7,Are you sure it’s live? ;),5,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
8,Lipstick,0,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
9, @fannie-annie feels like it’s recorded,6,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
10,precorded,5,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
11,you can literally hear them breathing @Soyboi0_0 ,5,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
12," @charlotteleung5468  I said it’s recorded , I didn’t anything about lipsync",2,23 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
13, @charlotteleung5468  never heard of pre-recorded?,1,21 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
14,"These vocals are obvious, but they record a different set of vocals that will sound ""live"" but then they play it during performances. We're still lovin' it tho!",1,20 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
15,"In this era, it's hard to distinguish between live and prerecorded.In my opinion, it was precorded because it kinda auto tuned",1,12 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
16,진짜 무대 자체가 너무 예쁘다.... 다들 반짝반짝함ㅠㅠ🩷,60,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
17,THE OUTFITS AND VISUALS GOSH,36,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
18,"They’re all giving visuals, the makeup, the outfits, everything is on point!! Love these girls!!!!",2.7K,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
19,yesss especially hanni and hyein! i can take my eyes off them,13,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
20,There is no such thing as a bad stage for NewJeans!! They did so well!!,24,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
21,"Thank you, Billboard, for having our girls! NewJeans just never disappoints and every track is timeless <3 so much love for NewJeans & BBMAS 2023! 'Til next year! Congratulations, NewJeans ",392,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
22,Congratulations NewJeans for being one of the first kpop girlgroup to win BBMAS!!! So proud of you,187,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
23,"I’am not lying when i’am saying i’am obsessed with this choreos everything is on point, outfits, dance, vocals. NEWJEANS ARE FREAKING GENIUS ",138,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
24,It should be their management is freaking genius,0,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
25,뉴진스 수상 축하하구! 슈퍼샤이 오앰지 무대 전부 너무 좋다! 목소리도 잘 들려서 좋고!! 중간에 의상 바뀌는 연출도 너무 좋고! 좋다 좋아!! 너무 예쁘게 푹신푹신 부드럽고 귀여운 느낌? ㅋㅋㅋㅋㅋ 좋아요! ,3,8 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
26,They won the Top Global Kpop Artist award at BBMA. Congrats to New Jeans!,2K,4 days ago (edited),"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
27,Because they showed up...similar to how MAMA works against some groups that won't show up.,30,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
28," @marksmith8210 isn't this pre recorded ? They were at world's so they didn't attend . whatsoever a win is win , just let them appreciate",65,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
29,Wtf is that? Making up awards now,6,3 days ago (edited),"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
30,pffffft not the replies getting mad,32,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
31, @FIGHTFAN777 it’s a real category that BBMAs has.,31,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
32,Even tho i'm bitter at western award shows for ignoring TWICE and their success this year gotta say New Jeans earned it!,8,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
33, @FIGHTFAN777 why r u crying,3,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
34,Yay,1,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
35,와 뭐야 무대세트 퀄리티 오졌다 진짜 그와중에 빛나는 뉴진스,26,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
36,무대 미쳤다,24,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
37,"서로에 대한 신뢰, 그리고 우정을 강조한 수상 소감이 인상적이다. 뉴진스는 롱런할 준비가 확실히 되어있는 그룹임을 느낄수있다.",231,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
38,these girls' outfits are super cute,4,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
39,BTS를 볼 때 느끼던 서로간의 화합이나 의지가 뉴진스에게도 비슷한 결로 느껴집니다...,13,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
40, @hybe1386 tbh i think newjeans is the closest we will get like bts and i think bts is proud of them they are the ones continuing the us market out of 4th gen,7,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
41,그렇다.,1,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
42,이제 데뷔한지 1년조금 넘었는데 전부다 어리고해서 앞으로 성장가능성이 무궁무진하다 뉴진스는 앞으로가 더 기대된다,8,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
43,"can we not compare them to bts? they're talented yes but bts literally built the company they're currently part of, those poor boys started with NOTHING and yet they paved the way for kpop in the west, newjeans are clearly lovely at what they do but their growth wasn't organic, they are incomparable to a band like bts, they're a very talented and amazing kpop girl group but they're not comparable to bts AT ALL, borabloodedness is compared to beatlemania but cute hypermanufactured pop isn't the same as that",0,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
44,"Theyre all giving visuals, the makeup, the outfits, everything is on point!! Love these girls!!!!",58,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
45,NewJeans는 같은곡 performance 를 매번 변화를 주고 고퀄 무대를 선보이는게 신기하고 그 창작성에 놀란다..,114,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
46,OMG 무대의상이 너무 레전드인데귀여움이 도가 지나치다 치사량이야,113,3 days ago (edited),"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
47,"Even I’m not fully stan. But they definitely deserve this year both top K-pop or even the world pop sensation. Their songs and also visual works are one of the hypest, catchiest i ever experienced in pop music this year. Totally agree from me for the beginning of their awards sweeping season even though it won’t make much on western as their continent ️",77,3 days ago (edited),"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
48,I love hearing the movement when they sing and dance!! New Jeans is definitely a group worth spending money on seeing them live️,21,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
49,It's pre-recorded,0,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
50,New Jeans is the best thing that could happen in K-pop. I wish them nothing but success .  Center Dani is adorable  and Hyein Center so cute. They all look so adorable   I'm proud of them.,46,3 days ago (edited),"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
51,They're all so talented I just love everything about them !!!!,7,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
52,their stylists went all out and so did the girls! what an eye pleasing stage,12,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
53,this performance is my newest obsession - they're just so unbelievably incredible,1.7K,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
54,Katrina mother making TV and karaoke,2,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
55,Katrina family ilsten church music,1,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
56,Katrina family ilsten Christmas music,1,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
57,Katrina family ilsten Halloween music,1,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
58,Katrina family ilsten birthday music,0,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
59,no its real bad,1,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
60,ikr,0,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
61,Newjeans me fez chorar pq meu Deus que apresentação,10,2 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
62,"Minji's visuals are insane... and I absolutely love her voiceHanni's honey vocals!! So pleasant to hear Danielle's live vocals are so smooth and sweetHaerin has really improved a lot in her stage presence, she is just constantly getting better and better",32,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
63,i love hyein hanni and dani sm theyre true aces and so pretty they resemble ai,0,23 hours ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
64,NewJeans look so adorable in their OMG outfits! I feel like it would be so much fun to attend their performance because their songs are so catchy and upbeat.,73,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
65,요정들의 무대 고마워뉴진스 사랑해,11,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
66,"Estan estupendas chicas, lo hicieron increíble!! Este año trabajaron tan duro y lo que estan obteniendo es totalmente merecido!! ",25,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
67,They slayed as usual no cookie crumbs left. Newjeans is so humble inviting billboard to their concert like that.,2.7K,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
68,Puahahahhaha ,39,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
69,jeez,10,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
70,Humble... Right.,12,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
71,lol,4,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
72,Its a joke,11,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
73,I see what you did there.,7,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
74,,3,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
75,fav comment,4,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
76,,3,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
77,It’s not even a concert it’s on a music show,5,4 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
78,"i just realized the OMG ending they did ""BBMAs"" with their hands Its crazy in just one year they've accomplished alot, im happy for the girls! I hope everyone enjoyed this performance!",44,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
79,Omgg that's what it said...Omgg THXX I was trying to figure what the heck they were saying :))),4,3 days ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
80,와 진짜 코디 미쳤네 어떻게 이렇게 하나하나 다 예쁠수가...,10,1 day ago,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]"
