,comment,like,time,title_list
0,"So surreal to have been a part of this!! NewJeans are so amazing, and super nice!! Honored to have shared the stage with you ",10K,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
1,you were on the stage with them?,109,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
2, @winx1388   you can tell from his photo picture that he was the guy in a yellow jacket lol,832,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
3,,21,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
4,Yooo the legend! The yellow jacket guy,234,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
5,yoo its the guy from fortnite,72,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
6,"Yooo, Yellowjacket!",77,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
7,YoooO!! It's the yellow jacket guy!,52,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
8,u ate that acting,71,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
9,you were really good at that acting!,87,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
10,Ok but the person who planned that light show deserves a raiseGO NEWJEANS,4.1K,4 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
11,Thank you for supporting lighting designers ,90,3 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
12,Right?! ,16,3 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
13,[ 오빠들 대주고 가는 유부 많은곳 찾았어 ]=들려서 어딘지 보고 가거라=,2,3 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
14,what,0,3 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
15,How is it made? 1:44,3,2 days ago (edited),NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
16, @krzysztofgara2332 and the non holographic sword probably came up on a mechanism under the 'floor',5,2 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
17,IMAGINE GETTING TO THE FINALS AND WATCH NEWJEANS SO CLOSE PERFORMING,57,1 day ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
18,im so glad that Dani finally got the recognition that she deserves  shes been doing so well yet underestimated. Thank you people in this comment section,694,2 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
19,"underestimated?, She is the one who has participated the most with many brands",16,2 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
20, @ansel6169  Yet she's the most hated one from the korean citizens because she isn't fully korean,13,2 days ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
21, @xcentrk1965  even hanni is not fully korean but doesnt have a lot of haters like danielle...well we know why but still pretty f,5,21 hours ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
22,underestimated? she was ariel!!!,8,19 hours ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
23,Hyein and Hanni are most underrated.   They hve best voices and charismatic,1,7 hours ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
24, @joy8801   none of them underrated hanni is one of the favourites of the group and hyein gets a lot more reconigtion,1,5 hours ago,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식
