,comment,like,time,title_list
0,MV: ️The chorus: ️,7.4K,10 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
1,pls dont use emojis,31,10 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
2, @ey1ub why's everyone always saying that can u tell me please,170,10 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
3, @Fatimah..Mohamed they think it freezes views but it doesn't,292,7 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
4,lyrics: ,99,7 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
5,this mv describes my mind.,23,7 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
6,Yeah and that chorus was so off and disappointing when verses were so cool and dramatic,65,7 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
7, @yejin_uu stop using emoji!!!,3,7 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
8,Red velvet deserve more and more,127,2 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
9,"I love rv’s concept it’s so fire they don’t just stick to one, they go over a course of different concepts.",126,4 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
10,Cool! I think you often listen to Red Velvet with your girlfriend! Who is your bias from RV?,2,4 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
11, @beabinside8190   oh my pfp is not me it’s from enhypen I’m a girl lmaoooo my bias is seulgi and yeri,3,4 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
12, @enhypeneuthuaist715  Cool! Yes I knew you were a girl!,4,4 days ago (edited),Red Velvet 레드벨벳 'Chill Kill' MV
13,"They remind me of F(x), I love it ",2,1 day ago,Red Velvet 레드벨벳 'Chill Kill' MV
14,레드벨벳 만이 소화할 수 있는 너무나 멋지고 아름다운 곡 이번 에도 음악이 아주 잘 나왔어요,30,3 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
15,RED VELVET KALO COMEBACK SELALU PALING BEDA DAN SANGAT PENUH TEKA TEKI. TIDAK KEHABISAN IDE ,33,3 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
16,They aren't influenced by the popular and stereotype K-Pop songs. They always stand out with distinctive listener range.,35,3 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
17,Yes! 그들은 독특해요!,2,3 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
18,Like F(x) in some point,0,1 day ago,Red Velvet 레드벨벳 'Chill Kill' MV
19,"This ain't a music video, this is a music movie. Red Velvet comebacks are so mysterious and tells stories so deep in their MVs. The creativity and talent is overflowing",1.3K,6 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
20,What's the story of the music video?,3,5 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
21,Dreamcatcher copy,3,5 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
22, @sept4799 It's a secret .,0,5 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
23, @sept4799 im guessing that the new place that they're in is possed and makes them argue that's why you see Irene and yeri almost fight until Irene goes into yeris arms and gives her a hug. also I have done much research in a while but also I'm feeling that Wendy and joy are on one team and that Irene and seulgi are on another. there's alot of different vrs of their story and like it's all different but similar,3,3 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
24,"The whole album is incredible. No comparison with the previous ones. Fantastic work, piece of art, you name it. I was really surprised, I didn't expect something like this. It's at another level. People not listening to kpop nowadays don't know what they are missing.",36,4 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
25,RV always keeps us interested!,3,4 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
26,Sebuah lagu dengan beragam emosi ,23,4 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
27,dont use emojis,0,4 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
28,This MV deserves more views and likes it slays bring me lightning like a winner what a chill win,50,1 day ago,Red Velvet 레드벨벳 'Chill Kill' MV
29,Yeah! I think you often listen to Red Velvet with your girlfriend! Who is your bias from RV?,0,1 day ago,Red Velvet 레드벨벳 'Chill Kill' MV
30,"Ngl I hated the switch up at first but now that I’m used to it, this song is literally a masterpieceeee!!",30,4 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
31,rv is arguably the best storyteller in kpop,15,3 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
32,"Yes, it's true! I think you often listen to Red Velvet with your girlfriend! Who is your bias from RV?",0,3 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
33,요즘 유행인 이지리스닝 계열의 뻔하지 않은 음악이라 신선하게 느껴지네요. 레드벨벳 노래는 유행을 그저 따라가거나 전작이 인기 끌었다고 재탕삼탕하지 않고 늘 새로운 시도로 질리지 않는 부분이 롱런하는 이유가 아닌가 싶네요.,2.3K,8 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
34,"Agree, they always come with different interesting concept and genre every comeback ",89,8 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
35,진짜 공감합니다...,82,6 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
36,이지리스닝으로 유행가가 될 수 없고 그렇다고 신선하지도 않고 늘 하던 뻔한 음악에 허접한 랩을 더한 노래라 전작에 이어 이번에도 잘 안 될 것 같습니다 노래 좋으면 그냥 좋다고 하지 이렇게 쓸데없이 말 안 길어지죠,19,5 days ago (edited),Red Velvet 레드벨벳 'Chill Kill' MV
37,드라마 랩 좋다고 난리치는 애가 할 말은 아닌듯?,51,5 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
38, @feea-pe8uq  본인은 드라마 랩 좋다고 하셨으면서 뻔한 랩 추가라니... 그렇게치면 에스파도 자기네가 낸 노래에 랩 추가한거 아닌가요ㅋㅋㅋㅋ 그리고 다른사람 개인적인 감상인데 거기다 대고 왜 전문가마냥 똥폼잡고 진지처빨고 대댓달고 그러시는... 댓글은 원래 감상이랑 자기 생각 다는 곳이에요 객관적인 평가만 쳐쓰라고있는게 아니라요,65,5 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
39, @feea-pe8uq 먼...감상평 길게 남기면 졷망이라는 거임? 무지성 논리 지린다,45,5 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
40,레드벨벳은 본인들 색이 뚜렷한거.. 그리고 보컬이 좋음 이번 앨범 수록곡까지 보면 유기성도 좋고.. 매번 뻔한거 안들고 와서 오래가는듯,77,4 days ago,Red Velvet 레드벨벳 'Chill Kill' MV
