,comment,like,time,title_list
22,분당 .... 판교.. 제발 판교역 근처에 맛집 좀 찾아주세요 ㅠㅠㅠㅠㅠㅠㅠ직장인들의 점심시간을 위한 백반집마저 흔치가 않아요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 비싸기만 비싸고 맛있는게 없어요 ㅠㅠㅠㅠㅠ,1.5K,6 days ago (edited),🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
23,땅값이 비싸니까 어쩔 수 없죠,42,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
24,거품낀 식당들 ㅠ,20,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
25,판교 13년살았는데 맛집 꽤있는뎅,29,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
26,판교 정돈 맛있어요,11,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
27,테라스 LA인가 매운피자 파는데 존맛임  점심엔 안하는것 같구,7,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
28,"판교는 비싼 가격 대비 맛은 타지역에 다 밀리는 듯. 직장인들이 가까운데 항상 가니깐, 서비스든 뭐든 걍 그저그런",63,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
29,판교역 안에 마라탕집 존맛…,1,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
30,꽤많은뎅,2,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
31, @sgfassfgadbe   여기 피자 특이해서 현백 직원들 사이에서  유명하긴한데 좁아서 회식도 어렵고  소주가 없음; 이가네양갈비가 술 마시기엔 더 좋을듯,14,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
32,판교역 미팅 자주갔을때 씹노답이긴했음 ㅋㅋㅋㅋㅋㅋㅋㅋ,6,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
33,무한자금성 최근에 운영이 많이 힘들다고 하셨던데 다행이네요.. 사장님도 아드님도 인상이 참 좋으십니다. 건강하세요,278,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
34,무한 자금성 인터뷰하신분 말씀도 차분히하시고 맘씨도 예쁘신 ㅎㅎ 심쿵했네욤 ㅎㅎ,1.6K,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
35,어 저도 그 생각 ㅋㅋ 말 너무 예쁘게 하시네 ㅎㅎ 하며,70,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
36,공감합니다~~,12,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
37,"목소리부터 차분하고 귀에 착 감기는데, 말씨나 예쁜 마음까지 저도 공감했어요",61,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
38,남자가 봐도 친해지고 싶은 스타일입니다~,55,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
39,저도용 일반인이신데 반하게 되는,24,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
40,맞아영!! 저만그생각한게아니군요,14,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
41,저두 그생각 했어용ㅎㅎ 먹으러 가야징,12,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
42,그러니까요 엄청 차분하게 말씀하시네요 식당도 좋아보이고ㅎㅎ,11,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
43,목소리 너무 좋으시고 말하는 느낌도 너무 좋으셔서 인기 많으실 듯,32,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
44,천사같은 얼굴에 천사같은 말투에 천사마음,10,6 days ago (edited),🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
45,자금성 소개해주신 남성분 너무 훈훈하신데 마음씨도 고우시다 사장님도 너무 좋으시고 마음이 따닷해졌어요🥹,113,4 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
46,구디단 8년차로서 정보 : 낭만부대찌개는  찐 맛집이 맞다 여기만의 맛이 있다!! 돈까스는 영호돈까스가 찐 숨겨진 맛집인데 휴 단골으로서 안나와서찐 다행이다,940,6 days ago (edited),🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
47,캡쳐 갈게요,25,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
48,오케이 접수,22,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
49,ㅇㅈ!!!!,0,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
50,영호돈까스 ㅇㅈㅋㅋㅋㅋ,5,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
51,댓으로요즘 다가요ㅋㅋㅋㅋ,5,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
52,이화의밤도 맛잇어여!!!!한식오마카세인데 사장님도 친절하시구 분위기 미쳐써연,3,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
53,안나와서 다행이라면서 본인입으로 말하네ㅋ,14,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
54,크 ㅋㅋㅋㅋㅋ 항상 고대병원 가면 먹을 게 없어서 라면만 먹었는데 감삼다 ㅜ,1,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
55,이제 몰려들 예정,3,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
56,영호... 돈... 까스...((메모,3,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
57,풍자님제작자분들구독자분들 독감 조심하시고 환기 잘 체크하셔서 건강하셔요  항상 잘 보고 있습니다!be careful of flu :D,16,4 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
58,"풍자님만의 뭔가 매력이 있네요~^^뭔가 말을 막하는것같지만 선은 넘지않고, 예의 있으신행동과 말투가 참좋아요~^^앞으로도 응원할께용~^^",3,18 hours ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
59,"역시 우리 풍자님^^ 재미도 있고, 재치도 있고, 배려도 있고, 귀염도 있고,  역시나 풍자가 다하는구나^^",77,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
60,풍자님 당신은 프로입니다. 또간집 풍자테레비 파이팅.오늘 또간집 영화인줄 긴장감 쩔고 전전긍긍했네. 찾아서 개다행,464,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
61,프로면 살 좀 빼시는게 ........ 프로 아닐까요? 제 개인 의견 입니다,3,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
62, @user-li5sl4zc2y 님 의견 안궁금해요,20,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
63, @user-li5sl4zc2y 또간집 고정 mc로서 한 끼에 3인분씩 먹다 보니 살이 찔 수 밖에 없어요. 풍자님이 완전 프로인 거죠.,9,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
64, @user-li5sl4zc2y  근데 저 분은 날씬해야 하는 방송인이 아니에요. 왜 날씬해야만 프로죠? 다양성 인정 합니다ㅎㅎ,12,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
65,풍자님 항상 너무 잘보고 있어요 정말 풍자님이 또간집의 아이덴티티일정도로 너무너무 잘 챙겨보고 있고 하루의 위안과 재미를 줍니다 그렇기때문에 더더욱a!또간집이 잠시 쉬어가면 어떨까요?저는 풍자님을 오래오래 보고싶어요 점점 건강이 안좋아지시는 게 보여서 너무 걱정됩니다 물론 관리하시려고 노력하시겠지만 너무 바쁘신 나머지 쉽지 않으시죠?잠깐만 쉬시면서 재정비하시는 건 어떨까요?돌아오실때까지 기다리고 있을게요 항상 감사하고 오래오래 건강하세요,9,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
66,무한자금성 꼭 가보겠습니다! 진짜 맛있어보여요..사장님 인상도 좋으시고 무도에 나왔다니까 더 기대돼요!! 오래오래 흥하시길,222,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
67,"이번에 경주 다녀왔는데 또간집 댓글보고 다녀왔어요 언제나 맛집 댓글 달아주시는 분들 너무 감사해요 ㅠㅠ진짜 현지인 맛집이라는게 느껴진게 어딜 가든 현지 아저씨들이 앉아계심 ㅋㅋㅋ백년복집 아구수육 - 살면서 아귀간을 처음 먹어봤는데 정말 까다로운 남편이 눈감고 전율 느낄 정도로 너무너무 맛있게 먹음 경주 여행 첫집이었는데 사장님도 친절하고 너무너무 맛있고 수육 2인분이 5만원인데 15000원짜리 단품으로 주는 커다란 탕이 두개가 나와버림;;; 수육 양도 많아서 수육 다먹었더니 배 터질거같았는데 그 다음 나온 진짜 소금간 말고 아무 조미도 안한 탕이 너무 맛있어서 국물 다먹어버림 탕에도 아구꼬리같은 고기가 듬뿍 들었는데 다 못먹고 나와서 마음이 죄송했음 ㅠㅠ저녁밥 먹을 때 까지 배가 안꺼짐 ㅋㅋㅋ아니 지방이 거의 없는 생선이 왜 배가 안꺼지냐고 ㅋㅋㅋ맛도 끝내주고 가성비까지 잡아버린 찐맛집, 나올 때 갑자기 아저씨 한분 들어와서는 내일 11시에 11명 예약! 결제해줘! 하셔가지고 사장님이 빵 터지셔서 왜 돈을 벌써 내고갈라하냐고 했음 ㅋㅋ현지 단골분들도 많으신듯 ㅎㅎㅎ",141,4 days ago (edited),🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
68,진심이 느껴지는 댓 ㅋㅋ,6,3 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
69, @anheelee  진짜 맛집 댓글 달아주시는 분들 넘모 감사합니다ㅜㅜ♡♡♡♡,1,2 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
70,헗!!! 저두 이번에 경주가는데 손민수할래요오~!!!! 감사합니다️,1,2 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
71,"저희동네도 진짜 맛집 없어요.다섯손가락도 안접히는 동네여서,풍자님실물볼수있는 좋은날이 오긴 할까요?첫눈처럼 반가운 풍자님 보고싶어요",13,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
72,무한자금성 꼭 가보고 싶어요 사장님 아버님과 똑같이 순둥 세상 착하게 생기셨네요 풍자님 감사합니다~,281,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
73,와 진짜 구디단 식당분들 반성해야 한다ㅋㅋ 직장인이 저렇게 많은 곳에 세상에 이렇게 맛집 인터뷰가 어려울 수 있나.. 는 우리 회사 근처도 맛집이 별로 없긴 해ㅠㅠ 점심 맛있는 거 먹는 힘으로 하루를 버티는데 흑흑,198,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
74,"어차피....피크타임이 관건인데,,,, 상권상 더 많은손님이 와도 힘두러요 ㅜㅜ(가디상인)",6,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
75,직장인이 많아서 맛집이 없는거임... 맛없어도 시간땜에 먹어줄 사람이 많으니까..,28,5 days ago (edited),🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
76,구디는 구내식당이 제일 맛있어요,1,2 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
77,무한도전에 나왔었던 중국집 사장님 사람이 너무 좋아 보이셨어서 그 편 보면서 눈물났던 기억나요!!! 또간집까지 선정되서 저까지 너무 기분이 좋네요 흥하시기를 ㅠㅠ!!,447,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
78,중식 뷔페 사장님 승승장구 하세요풍자님도 늘 응원합니다,335,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
79,풍자씨 금쪽상담소에서 보고 다시 생각하게 되었어요. 넘 대견하고 대단하고 멋진 사람이였는데 몰랐네요.  앞으로는 자신만을 위해 이기적으로 행복하게 사시길 응원할께요.,32,5 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
80,구미도 제발 한번만 와주세요 ㅠㅠㅠㅠ진짜 공단동에 존나 맛있는 국밥집있습니다 친구한테 추천 해줫는데 2주간 거기 국밥만 먹었습니다 진짜 개존맛팅팅팅팅 탱탱탱탱 맛있습니다,425,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
81,어딥니까!!!!!!,5,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
82, @user-qp3tc7xg7c  구미 순천향 병원 맞은편 순대국골목 돈수촌 입니다. 다른 집 하고 다르게 마늘을 조금 넣어주시는데 그게 맛에 차이가 있는거 같고 그리고 식전에 서비스 로 순대랑 보쌈 조금 주시는데 다른곳이랑 고기 차이도 엄청납니다.김치도 진짜 맛있어요 2주간 친구랑 먹으면서 생각했습니다 2주동안 먹어야지 물리는구나 하고 사람마다 입맛은 다르겠지만 싸구려 퍼석고기 와는 정말 다른 차이가 있습니다 존맛탱구리구리 마요네즈 입니다,31,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
83,구미유행어예요? 말이 특이하네,7,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
84,ㄹㅇㄹㅇ 와서 선산곱창도 드셔주셨으면 좋겠어요...,25,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
85,국밥하면 부산아입니까??!!!!!이미 국밥 맛집 부산 왔다갔다고요ㅋㅋㅋ 구미는 공순이들뿐이지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
86,공단 국밥골목은 실비식당이 젤 마싯어요,1,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
87,저는 구미 국밥은 금촌이라 생각합니다,2,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
88,구미 오래 살았었는데 공단동 순천향병원 맞은편 국밥골목은 전부다 식전 서비스로 수육이나 순대줌 그리고 현지인들은 잘 안감 거기 공단쪽 엘지이노텍 계약직으로 우르르 오는 외지인들이나 처음가고 좋아하지 맛집은 아님 가격은 저렴한편에 구성이 좋음 국밥에서 잡내좀 있음,6,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
89,어 구미사람이다 ㅎㅎ 나두 구미인대,0,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
90,짜장면 먹고 어리둥절한 우리 풍자씨 모습..왤케귀여웡.... !!!!,25,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
91,7년전 결혼전까지 구디단에서 일했는데 낭만부대찌개 아직도 있네욬ㅋㅋㅋ진짜 저거먹으려고 우리팀원들 점심시간 12시 부터인데 한시간 땡겨서 11시에 가서 웨이팅하고 먹고왔었음ㅋㅋㅋㅋ그립다ㅠㅠ 이젠 너무 멀어서 갈수가 없네…,24,4 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
92,구디 음식들 대부분 자극적이고 강한게 많아서ㅠ자주 먹기에는 나주곰탕만한게 엄ㅅ더라고요 맨날 가던데에서 언니 보니까 넘 신기해요+남대문이랑 구디점 두 개가 있는데 직영점이라고 알고잇어요,369,6 days ago (edited),🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
93,누나도 화이팅,0,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
94,아..이렇게 알려지다니...몰래 숨어서 먹던 아지트였는데ㅠㅠㅠ,1,6 days ago,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40
