,comment,like,time,title_list
0,편의점 최강자는 누구?!1. GS252. CU3. 이마트24,480,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
1,1111111,36,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
2,222222222,41,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
3,"1,1,1",8,4 days ago (edited),24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
4,2,8,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
5,아쉽지만미니스톱 없어졌어요,20,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
6,4 4,3,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
7,언제나 잘 보고 있습니다ㅏㅏ ,1,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
8,1번 gs25 다른데보다 종류가 많아여,7,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
9,2222222,1,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
10,아니 진심 이제 파뿌리는평일의 무도임게다가 소재가 편의점이라 친숙해서 그런가,7,19 hours ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
11,일요일 저녁을 책임을 져주는 파뿌리24......그전에는 해피썬데이 1박2일을 즐겨봤었는디....파뿌리를 알게되고부터는 일요일마다 잘챙겨보고 있습니다.무병장수채널을 위해서 건강잘챙기시고,173,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
12,아 항상 색다로운 주제로 하는 파뿌리..나올건 다 나온것같은데 맨날 색다른주제..파뿌리 클라쓰..,152,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
13,옛날꺼가 재밌는데 요즘은 뭔가 이상함,5,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
14,지금도 재밌는뎅....,14,4 days ago,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ)
