,comment,like,time,title_list
0,아니 신윤승 진짜 무대체질이네.......... 너무 잘한다..... 저렇게 안웃으면서 털털하게 하기가 쉽지 않은데 ㅋㅋㅋㅋㅋㅋㅋ,56,1 day ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
1,남동엽님 진짜 관찰력이 좋으시네요ㅋㅋㅋㅋㅋ 계속 나왔으면 좋겠습니다!!,11,1 day ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
2,아이디어도 잘잡았지만 특유의 톤과 제스처가 장난아님ㅋㅋㅋㅋ 모두가 알면서 넘어가는 암묵적인 모순을 끄집어내서 앞에서 비틀고 짜고 하니까 안 웃을 수가 없음ㅋㅋㅋㅋㅋㅋ,6,1 day ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
3,신윤승이 개콘의 미래다.. 털털하고 설렁설렁한 느낌으로 툭툭 뱉는데 멘트들이 다 웃기넼ㅋ 앞으로가 참 기대되는 개그맨임 이렇게 웃겨야지.. 처음부터 연기며 분장이며 의상 등에 힘 빡주고 시작하면 1도 웃기지는 않고 걍 까불거리는 느낌밖에 안듦.. 신윤승 같은 개그맨들이 많이 나온다면 그래도 개콘 가망은 좀 있을듯..,521,3 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
4,약간 예전 장동민 뜨기전 그까이꺼 대충  같은 느낌이네여 잘되시길 ㅎㅎ,14,3 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
5,진짜 아이디어 대박임 뭔가 박성광 과인거같어,10,3 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
6,더는 안나올듯,2,2 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
7,이상ㅎㅐ 이상해 ㅎ,0,2 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
8,네 지인들 그만해,3,1 day ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
9,신윤승은 신윤 성 ! 이라고 해줘야 합니다 !!ㅋㅋㅋ저도 신윤성 팬입니다 !!,0,1 day ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
10,,0,1 day ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
11,"남현승은 스타성,연기력이 뛰어나서 성대모사말고 다른 코너 하는거 보고싶고 신윤승은 공개코미디가 엄청 고팠던것같다 열정도 제일 있어보이고. 다 개인기만 해대는데 한시간짜리 개콘 통틀어서 유일하게 아이디어다운거 짜왔네",163,3 days ago (edited),"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
12,신윤승이 옛날 개콘느낌나게 진짜 잘살렸네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개콘존나재미없을거라생각했는데.웃기네 ㅋㅋ,398,3 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
13,,0,1 day ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
14,윤승씨 개콘막내일때부터 유튜브도 다 챙겨봤는데 이번 캐릭터 엄청 신선하고 재밌네요 ㅋㅋㅋㅋㅋㅋㅋㅋ,225,3 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
15,황이형은 시간탐험을 하시니까 그런듯.. ㅋㅋ,0,2 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
16,남현승님은 신동엽 저리가라 할정도로 신동엽 특유의모사를 잘 표현하셨네요 ㅋㅋㅋㅋㅋㅋㅋㅋ,47,1 day ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
17,,0,1 day ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
18,신동엽 묘사 포인트 몇개만하고 더이상 다른걸 안함 진부해짐...,3,1 day ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
19,남현승님 숏박스에도 나오신 분이죠?,0,11 hours ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
20,신윤승 개그맨 진짜 어마어마하네요ㅋㅋㅋㄱㅋㄲ 예전 개콘의 느낌이 나는게...! 완전 참신한데 또 웃김ㅋㅋㄱㅋㄱ,344,3 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
21,신윤승이 진짜 희극을 젤 잘 아는거 같음.,19,3 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
22,이건뭐틀딱이신가,4,3 days ago,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송"
