,comment,like,time,title_list
0,기석이 하고 코쿤은 기안 정말 잘 챙겨준다미노이도 기안한테 너무 잘해주고  진짜 회사 분위기 좋다,960,4 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
1,나혼자산다랑 비교되노,20,3 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
2,아무래도 딴 부서 사람 끼고 워크샵갔으니까 챙겨주게 되지않겠슴?마케팅팀 워크샵에 it개발부서 직원 같이 간 느낌?,36,3 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
3, @han-xn7bb  그렇죠... 그렇게 하는게 인지상정인데... 실제론 안그런 경우를 많이 봐서근데 코쿤 하고 기석이는 다른데서도 기안한테 정말 잘해주는듯,24,3 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
4,기안 단체로 어디 나오는데마다 하나씩 보이는 내용인데 뭐 챙겨준다 안 챙겨준다 이런 언급 자체가 사실 당사자 입장에선 좀ㅋㅋ물론 본인이 유별난 점도 있지만,35,2 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
5, @user-qt2rq2dx5p ㅇㅈ 기안도 멀쩡한 성인인데,26,2 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
6,기안도 멀쩡한 성인인데 누가 챙겨줘야하는 사람 아니에여..,11,2 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
7, @peterjeong5607  아니 이건 뭔 소리야.. 당연히 챙겨주는게 맞지. 근데 기안 만큼은 다른 영상에서도 보면 여러 사람이랑 다같이 출연하는 프로그램의 댓글보면 항상 하나씩 보이는 글이 기안 챙겨주네 마네 하는 언급이 끼어있단 그 점을 말하는거잖아. 아 유튜브 댓글 한 번씩 보면 문맥파악 못해서 엉뚱한데서 치고 들어가는 사람 많이 봤는데 이걸 내가 당하네,1,21 hours ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
8,와~~근데 AOMG 단합 미쳤다.다른 레이블 비교안할래야 안할수가..가오잡는 사람없이 넘 편하게들 어울리는 모습들이 찐으로 느껴진다.,923,5 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
9,[ 대주고 가는 유부 많은곳 찾았다 ]=들려서 어딘지 보고 가거라=,0,5 days ago,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1
