,comment,like,time,title_list
0,저런 음식을 대접받은 범창호는 얼마나 좋았을까?,369,2 days ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
1,전무님이 저 레시피로 메타코미디 점심식사 한번 가서 해준다면...???,22,2 days ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
2,얼마나 좋았을까?(털보톤으로),12,2 days ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
3,좋은데 뭣같다는 의미로 '좋같다'는 어떤가요?,7,1 day ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
4,출장 십오야처럼 출장나가서 메타코미디를 쑥대밭으로 만들어 버렸으면 좋겠다,12,1 day ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
5,아니 왜 댓글에서 침냄새가 나는 거냐고ㅋㅋㅋㅋ,0,5 hours ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
6,다른건 몰라도 국물의 겉은 황토색인데 속이 보라색인건 진짜 처음 보는 광경이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,182,2 days ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
7,쥐범풍 조합 개웃기네 진짜 ㅋㅋㅋㅋㅋㅋㅋ유독 남동생들이랑 케미가 좋은 전무님 ㅋㅋㅋㅋㅋ,317,2 days ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
8,쥐범풍ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄴㅋㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋ,26,2 days ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
9,아 이번 편 너무 막무가내인데 옆에 게스트 둘이 너무 잘 받아주니까 웃겨 디지버지겠넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,119,2 days ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
10,아니 모든 게스트들이 촬영 이렇게 하는 게 맞냐고 걱정하는데 매회 레전드인거면 PD들 능력이 어마어마 하네,406,2 days ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
11,아 미쳤나봐 왜이렇게 웃기죠 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 첨부터 끝까지 다웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시 갓범 갓창호 갓풍 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,196,2 days ago,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03"
